language_id,book_id
Q1860,Q967866
Q7976,Q259168
Q1654327,Q428
Q7850,Q687239
Q5287,Q861486
Q1860,Q640795
Q150,Q530910
Q1860,Q589106
Q1860,Q428339
Q1860,Q476871
Q1860,Q687357
Q397,Q442
Q150,Q967915
Q5287,Q861498
Q9027,Q530990
Q1321,Q259309
Q1860,Q331228
Q1860,Q641258
Q150,Q927251
Q5146,Q476873
Q809,Q748372
Q1321,Q83599
Q1860,Q687432
Q188,Q861527
Q1321,Q428533
Q1860,Q331651
Q809,Q927292
Q150,Q477028
Q150,Q447
Q150,Q260016
Q7850,Q83755
Q1860,Q641298
Q44676,Q803910
Q1860,Q428581
Q1860,Q748705
Q150,Q927619
Q188,Q477434
Q7979,Q968066
Q1163234,Q531697
Q1860,Q260205
Q1860,Q641423
Q1321,Q641423
Q5364419,Q480
Q1860,Q428680
Q1860,Q927768
Q7979,Q331656
Q35505,Q589472
Q150,Q968115
Q1860,Q804414
Q150,Q862050
Q1860,Q185031
Q1860,Q477508
Q1860,Q589485
Q1860,Q927828
Q7979,Q331669
Q1860,Q687787
Q7737,Q83799
Q397,Q641716
Q1860,Q721
Q150,Q477564
Q1860,Q968134
Q1321,Q185118
Q188,Q928531
Q1860,Q260702
Q188,Q688426
Q1860,Q83880
Q7976,Q429159
Q188,Q641807
Q1860,Q533195
Q150,Q805878
Q9035,Q331784
Q1860,Q477670
Q7976,Q968314
Q1860,Q928680
Q1860,Q260711
Q1860,Q688963
Q1860,Q185449
Q7737,Q862536
Q652,Q533391
Q37041,Q805994
Q1860,Q331797
Q7979,Q589868
Q188,Q968544
Q1860,Q477792
Q1860,Q185705
Q1860,Q749783
Q5287,Q928977
Q1860,Q429806
Q1860,Q642635
Q1860,Q533575
Q150,Q806174
Q1860,Q331804
Q1860,Q260760
Q1860,Q968669
Q1860,Q689071
Q397,Q862816
Q1860,Q185822
Q1982248,Q1845
Q28602,Q1845
Q107358,Q1845
Q1860,Q589959
Q1860,Q429967
Q1860,Q332388
Q7979,Q477831
Q1860,Q750554
Q1860,Q929091
Q1860,Q862948
Q7976,Q2222
Q1860,Q534739
Q188,Q590208
Q1860,Q430004
Q1860,Q808113
Q1860,Q332581
Q1860,Q261728
Q1860,Q477994
Q1860,Q2870
Q1860,Q750670
Q150,Q642646
Q150,Q929165
Q13955,Q534888
Q1860,Q590454
Q1860,Q185887
Q1860,Q863037
Q1860,Q969218
Q1860,Q261979
Q1860,Q4672
Q1860,Q478016
Q1860,Q929184
Q1860,Q751012
Q150,Q690362
Q150,Q430227
Q188,Q186314
Q1860,Q590509
Q1860,Q92556
Q1860,Q863438
Q1860,Q808549
Q1860,Q262540
Q9067,Q642710
Q1860,Q534975
Q1860,Q590799
Q1860,Q430248
Q5287,Q810987
Q188,Q690652
Q1860,Q969917
Q1860,Q333179
Q1860,Q187655
Q1860,Q534991
Q1860,Q4791
Q150,Q751270
Q1860,Q92630
Q9288,Q430269
Q1860,Q863534
Q1860,Q642911
Q1860,Q187942
Q1860,Q478098
Q1860,Q969970
Q150,Q334370
Q1860,Q690744
Q1860,Q4795
Q5287,Q751348
Q7976,Q591623
Q1860,Q591623
Q35497,Q264241
Q1321,Q929409
Q7737,Q188538
Q37041,Q430428
Q150,Q334896
Q1860,Q643203
Q1860,Q864042
Q1860,Q4804
Q1860,Q535795
Q150,Q691326
Q1860,Q478110
Q809,Q969992
Q1860,Q591892
Q1860,Q92640
Q1860,Q5825
Q1860,Q751574
Q7737,Q643846
Q1860,Q864150
Q809,Q335315
Q1860,Q478250
Q7979,Q535896
Q9288,Q970053
Q150,Q264451
Q1860,Q591997
Q1860,Q929608
Q5146,Q929608
Q1860,Q6507
Q1860,Q189378
Q188,Q864250
Q1860,Q751678
Q1860,Q478326
Q1860,Q335645
Q1860,Q430514
Q1860,Q592078
Q1860,Q264519
Q150,Q93673
Q1860,Q929821
Q33538,Q692019
Q150,Q536044
Q188,Q811211
Q1860,Q864476
Q188,Q478344
Q5287,Q336056
Q1860,Q430605
Q1860,Q592139
Q1860,Q93773
Q1860,Q189446
Q1860,Q692102
Q150,Q929899
Q1860,Q6511
Q1860,Q751752
Q1860,Q865961
Q1860,Q812082
Q7976,Q536100
Q1860,Q336342
Q150,Q431053
Q1860,Q478433
Q1860,Q189509
Q1860,Q970556
Q5287,Q95057
Q188,Q336786
Q188,Q812981
Q1617,Q752073
Q9027,Q478463
Q652,Q536549
Q150,Q644271
Q9027,Q930094
Q8641,Q592503
Q1860,Q692350
Q1860,Q970822
Q7737,Q337347
Q35497,Q752285
Q5287,Q813031
Q1860,Q478537
Q1860,Q431524
Q1860,Q189811
Q188,Q644466
Q397,Q106199
Q809,Q930146
Q1860,Q592815
Q655076,Q692557
Q1860,Q692557
Q1860,Q971280
Q1473289,Q537242
Q150,Q190126
Q7411,Q6911
Q1860,Q479086
Q1860,Q337944
Q1860,Q813042
Q1860,Q752432
Q150,Q431683
Q5287,Q930228
Q1860,Q593935
Q13955,Q107790
Q150,Q264757
Q7976,Q971336
Q150,Q692567
