founder_id,publisher_id
iption;inception;id
Q5189454;Crown Publishing Group;publisher;1933;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q197707;Hamish Hamilton;British book publishing house;1931;
Q273819;Éditions Gallimard;French publishing company;1911;4425373-4
Q921536;Viking Press;publisher;1925;
Q3127696;Harper;American publishing company;1817;
Q8015856;William Morrow and Company;publisher;1926;
Q2562301;Del Rey Books;publisher;1977;
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q912887;Cambridge University Press;publishing business of the University of Cambridge;1534;1008744-8
Q1508259;Routledge;global publisher;1851;10009431-4
Q5901940;Horace Liveright;American publisher and stage producer;;119297019
Q4972333;Broadview Press;;1985;
Q15999138;Michael Joseph;British publisher and writer;;11898537X
Q616067;Nouvelle Revue Française;journal;1908;4166302-0
Q7806587;Timescape Books;;1981;
Q2609948;Bantam Books;Publisher from the USA;1945;
Q921536;Viking Press;publisher;1925;
Q8015856;William Morrow and Company;publisher;1926;
Q7033446;Night Shade Books;;1997;
Q868587;McGraw Hill Financial;American publicly traded corporation;1917;
Q1232629;John Murray;English publisher;1768;116461-2
Q5499961;Free Press;;1947;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q574400;Victor Gollancz;British publisher;;118696262
Q7225420;Polity;publisher based in the United Kingdom;1984;
Q6243940;John Lane;Wikipedia disambiguation page;;
Q7522003;Sinclair-Stevenson Ltd;;1989;
Q2777746;Fayard;Paris-based French publishing house;1857;
Q1756332;Simon & Schuster;large English-language publisher;1924;2149226-8
Q4763946;Angry Robot;;2008;
Q7380179;Rupa & Co.;book publisher in India;1936;
Q34433;University of Oxford;collegiate public research university located in Oxford, England, United Kingdom;1096;36214-1
Q1336200;Penguin Books;British publishing house;1935;128644-4
Q4857181;Bantam Spectra;science-fiction division of Bantam Books;;
Q3127696;Harper;American publishing company;1817;
Q2522363;Victor Gollancz Ltd;British book publishing house;1927;509013-1
Q3093062;G. P. Putnam's Sons;US book publisher, under this name from 1872;1838;
Q921536;Viking Press;publisher;1925;
Q2295283;Smith, Elder & Co.;British book publisher;;
Q552619;Pierre-Jules Hetzel;French publisher and writer;;118949047
Q7800720;Ticknor and Fields;;1854;
Q5941590;Humphrey S. Milford;British publisher;;120513110
Q3402586;Presses de la Cité;;1943;
Q2908391;The Bodley Head;;1887;
Q95145;Allen & Unwin;Australian publishing company;1914;7701946-5
Q273819;Éditions Gallimard;French publishing company;1911;4425373-4
Q568642;Bloomsbury Publishing;British independent, worldwide publishing house;1986;106536895X
Q868587;McGraw Hill Financial;American publicly traded corporation;1917;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q349566;Hachette;French publisher;1826;
Q217595;Oxford University Press;publishing arm of the University of Oxford;1586;812629-X
Q273819;Éditions Gallimard;French publishing company;1911;4425373-4
Q552959;Little, Brown and Company;publisher;1837;5263955-1
Q5147368;Collins Crime Club;;1930;
Q4779613;Workman Publishing Company;;1968;
Q1251563;Doubleday;American publishing company;1897;1086221443
Q844822;Shueisha;Japanese manga, magazines and novels publisher;1925;
Q217595;Oxford University Press;publishing arm of the University of Oxford;1586;812629-X
Q1543201;TSR;former company, publisher of "Dungeons & Dragons";1972;
Q4857180;Bantam Press;organization;;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q1529971;Blackwood's Magazine;British magazine;1817;
Q7896496;University of Toronto Press;;1901;
Q95149;HarperCollins;American publishing house;1990;4475605-7
Q8015856;William Morrow and Company;publisher;1926;
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q5677798;Harvill Secker;British publishing company;1936;
Q921536;Viking Press;publisher;1925;
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q38072107;fiction literature;literature which is derived at least partly from imagination and not presented as a factual account;;
Q799732;Baen Books;publisher;1983;
Q217595;Oxford University Press;publishing arm of the University of Oxford;1586;812629-X
Q3277534;Jonathan Cape;British publisher;1921;
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q1385440;Piper Verlag;German publisher;1904;25993-7
Q2108217;Macmillan Publishers;British publishing company;1843;16282130-X
Q197707;Hamish Hamilton;British book publishing house;1931;
Q896837;C. H. Beck;German publisher;1763;2006624-7
Q5147368;Collins Crime Club;;1930;
Q20808141;University of Strasbourg;French university (1538-1970);1538;1010669-8
Q1184979;Shinchosha;Japanese publisher founded in 1896;1896;4287321-6
Q1184979;Shinchosha;Japanese publisher founded in 1896;1896;4287321-6
Q2108217;Macmillan Publishers;British publishing company;1843;16282130-X
Q552959;Little, Brown and Company;publisher;1837;5263955-1
Q273819;Éditions Gallimard;French publishing company;1911;4425373-4
Q3560313;Vintage Books;publishing imprint of Random House; American to 1990, now international;1954;1086334000
Q95149;HarperCollins;American publishing house;1990;4475605-7
Q273819;Éditions Gallimard;French publishing company;1911;4425373-4
Q7206385;Pocket Books;American publisher;1939;
Q3115400;Grant Richards;American actor and voice actor;;
Q8772125;Editorial Anagrama;Spanish publishing company based in Barcelona;1969;
Q5033341;Canongate Books;Scottish independent publishing firm based in Edinburgh;1973;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q273829;Les Éditions de Minuit;publisher;1941;
Q2108217;Macmillan Publishers;British publishing company;1843;16282130-X
Q7190491;Picador;British publishing house;1972;
Q1521725;Louisiana State University;university in Baton Rouge, Louisiana, USA;1860;65667-7
Q15501071;Lyle Stuart;American tax resister;;
Q273819;Éditions Gallimard;French publishing company;1911;4425373-4
Q1543201;TSR;former company, publisher of "Dungeons & Dragons";1972;
Q95149;HarperCollins;American publishing house;1990;4475605-7
Q4034881;Basic Books;American book publisher;1952;
Q1756332;Simon & Schuster;large English-language publisher;1924;2149226-8
Q5033341;Canongate Books;Scottish independent publishing firm based in Edinburgh;1973;
Q921536;Viking Press;publisher;1925;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q799732;Baen Books;publisher;1983;
Q2647037;Tor Books;book publisher of the United States;1980;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q1251563;Doubleday;American publishing company;1897;1086221443
Q5322081;E. P. Dutton;American book publishing company founded as a book retailer in Boston, Massachusetts in 1852;1852;
Q2108217;Macmillan Publishers;British publishing company;1843;16282130-X
Q892825;Bonnier Group;company;1837;
Q7962224;Walker Books;independent British publisher;1978;
Q574400;Victor Gollancz;British publisher;;118696262
Q3296078;Methuen Publishing;UK book publishing company;1889;
Q568642;Bloomsbury Publishing;British independent, worldwide publishing house;1986;106536895X
Q5499961;Free Press;;1947;
Q5147368;Collins Crime Club;;1930;
Q7005314;New American Library;American publisher;1948;
Q1251563;Doubleday;American publishing company;1897;1086221443
Q55233;Hyperion Books;American book publisher;1990;
Q2522363;Victor Gollancz Ltd;British book publishing house;1927;509013-1
Q1336200;Penguin Books;British publishing house;1935;128644-4
Q7206385;Pocket Books;American publisher;1939;
Q3277534;Jonathan Cape;British publisher;1921;
Q21488865;Leyde;family name;;
Q552959;Little, Brown and Company;publisher;1837;5263955-1
Q1756332;Simon & Schuster;large English-language publisher;1924;2149226-8
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q5032006;Candlewick Press;;1991;
Q5033341;Canongate Books;Scottish independent publishing firm based in Edinburgh;1973;
Q2908391;The Bodley Head;;1887;
Q744182;Random House;general-interest trade book publisher;1927;5053270-4
Q3132837;Henry Holt and Company;American publishing company established 1866, under this name from 1873, succeeded by Holt, Rinehart & Winston 1960, continued as division or imprint;1866;4351101-6
Q921536;Viking Press;publisher;1925;
