Q216400,Q2229738
Q6375499,Q7743194
Q49368043,Q49368116
Q28054906,Q28055389
Q28054999,Q28055389
Q28054920,Q28055389
Q6387819,Q28055389
Q28054980,Q28055389
Q8021910,Q28055389
Q606389,Q16493625
Q9546,Q12184084
Q81989,Q428
Q9458,Q428
Q37731,Q428
Q316785,Q8069036
Q16473,Q7261077
Q312632,Q3225160
Q184226,Q22084324
Q557,Q4034756
Q189869,Q6010082
Q5083482,Q12184085
Q2020027,Q2230432
Q13129891,Q20568483
Q184226,Q22084325
Q438164,Q7743200
Q275328,Q5215270
Q6512533,Q7261115
Q82778,Q442
Q28055914,Q28055911
Q28054906,Q28055911
Q28054999,Q28055911
Q28054896,Q28055911
Q28054920,Q28055911
Q28055000,Q28055911
Q28054980,Q28055911
Q28054931,Q28055911
Q28055917,Q28055911
Q28055244,Q28055911
Q8021910,Q28055911
Q6171625,Q20568488
Q61723,Q49391901
Q933811,Q6010092
Q180626,Q2231295
Q3286957,Q16494150
Q336125,Q3225164
Q2062387,Q4034857
Q184226,Q22084327
Q28055914,Q28055942
Q28054906,Q28055942
Q28054999,Q28055942
Q28054896,Q28055942
Q28054920,Q28055942
Q28055000,Q28055942
Q28054980,Q28055942
Q28054931,Q28055942
Q28055917,Q28055942
Q28055244,Q28055942
Q8021910,Q28055942
Q6763624,Q8069191
Q298376,Q49440813
Q234819,Q5215273
Q448,Q447
Q153232,Q447
Q584990,Q447
Q48259,Q6010233
Q5362573,Q6010233
Q738615,Q2231574
Q352465,Q22084329
Q184226,Q22084329
Q5294226,Q7261294
Q28054906,Q28056014
Q28054999,Q28056014
Q28054896,Q28056014
Q28054920,Q28056014
Q6387819,Q28056014
Q28055000,Q28056014
Q28054980,Q28056014
Q28055013,Q28056014
Q28054931,Q28056014
Q8021910,Q28056014
Q862,Q4036399
Q172140,Q8069502
Q42511,Q470
Q3052845,Q49459168
Q13129891,Q20568494
Q561598,Q18483222
Q6175304,Q5215279
Q36184,Q7743210
Q193803,Q2231619
Q28054906,Q28056092
Q28054999,Q28056092
Q28054896,Q28056092
Q28054920,Q28056092
Q6387819,Q28056092
Q28055000,Q28056092
Q28054980,Q28056092
Q28055013,Q28056092
Q28054931,Q28056092
Q8021910,Q28056092
Q231356,Q7261295
Q184226,Q22084376
Q234403,Q4037587
Q3534409,Q8069510
Q5682,Q480
Q822857,Q6010266
Q266205,Q5215405
Q711926,Q8069650
Q540024,Q2231680
Q28054906,Q28056165
Q28054896,Q28056165
Q28054920,Q28056165
Q6387819,Q28056165
Q8021910,Q28056165
Q184226,Q22084377
Q47124646,Q20568503
Q213687,Q4037993
Q243771,Q49478642
Q272076,Q6010275
Q7270705,Q6010275
Q788197,Q7743223
Q12054,Q3225193
Q439396,Q7261403
Q7519344,Q8069713
Q47122990,Q20568505
Q28054906,Q28056189
Q28054896,Q28056189
Q28054920,Q28056189
Q6387819,Q28056189
Q28056192,Q28056189
Q28054980,Q28056189
Q28056195,Q28056189
Q28054931,Q28056189
Q8021910,Q28056189
Q3383545,Q22084378
Q369690,Q12184226
Q15405,Q4037996
Q33113225,Q49515132
Q493118,Q5215451
Q965375,Q2232820
Q230141,Q7261426
Q5219891,Q6010305
Q764438,Q7743230
Q84153,Q3225198
Q47122793,Q20568511
Q184226,Q22084379
Q28054896,Q28056217
Q28054920,Q28056217
Q8021910,Q28056217
Q137576,Q4038772
Q42,Q721
Q710135,Q8071010
Q278510,Q6010311
Q545476,Q16494659
Q264699,Q5215454
Q154211,Q2234023
Q302835,Q8071845
Q117053,Q7743314
Q1658251,Q4039026
