book_id;label;description;title;subtitle;first_line;genres;id
Q114232;Hitler's Table Talk;book by Adolf Hitler;;;;;
Q132042;Leaves of Grass;expansive Walt Whitman poetry collection;;;;poetry;
Q154761;Pen, Sword, Camisole;book;Farda, Fardão, Camisola de Dormir;;;novel;
Q40496;The End: Hitler's Germany 1944–45;historical narrative charting the course of World War II by Ian Kershaw;;;;historiography;978-0-7139-9716-3
Q25666;Österreichisches Biographisches Lexikon 1815–1950;Austrian biographical dictionary;;;;biographical dictionary;
Q48716;Ganz unten;book;;;;non-fiction literature;
Q29399;The Tower;2008 novel written by Uwe Tellkamp;Der Turm;Geschichte aus einem versunkenen Land;;novel;
Q165520;101 Reykjavík;1996 novel;;;;novel;
Q428;Quran;the central religious text of Islam;;;;religion;
Q8563;The Hundred and One Dalmatians;1956 children's novel;;;;children's literature,children's novel;
Q83585;The Joy of Sex;book by Alex Comfort;;;;sex manual,essay;
Q61324;Sophie's World;novel by Jostein Gaarder;Sofies verden;;;philosophical novel,philosophical fiction;978-1-85799-291-5
Q79762;The Silmarillion;collection of J. R. R. Tolkien's mythopoeic works;The Silmarillion;;There was Eru, the One, who in Arda is called Ilúvatar; and he made first the Ainur, the Holy Ones, that were the offspring of his thought, and they were with him before aught else was made.;fantasy literature,mythopoeia,novel;978-0-04-823139-0
Q176734;The Hero with a Thousand Faces;book;;;;science,comparative mythology;
Q132062;The Lathe of Heaven;novel by Ursula K. Le Guin;The Lathe of Heaven;;;science fiction novel;
Q29424;Fathers and Sons;novel by Ivan Turgenev;Отцы и дѣти;;;novel;978-2-07-034487-1
Q125628;Timm Thaler;1962 children's novel by James Krüss;;;;science fiction novel,children's novel,fantasy novel;978-4-89642-097-5
Q140016;Jar City;novel by Arnaldur Indriðason;Mýrin;;;novel,crime novel,mystery fiction;
Q8650;10 tips on how to stop killing people and start doing the dishes;Icelandic novel by Hallgrímur Helgasson;;;;novel;
Q114761;The Aquitaine Progression;novel by Robert Ludlum;;;;thriller,novel,suspense;978-0-394-53674-3
Q40591;The Communist Manifesto;1848 publication written by Karl Marx and Friedrich Engels;Manifest der Kommunistischen Partei;;;utopian fiction;
Q165599;Native Son;novel by Richard Wright (author);;;;African-American literature,novel;978-0-06-083756-3
Q83599;Comentarios Reales de los Incas;book;;;;historiography;
Q80771;Sons and Lovers;novel by D. H. Lawrence;;;;novel;
Q154763;Tieta;novel by Jorge Amado;;;;Brazilian literature,novel;978-85-359-1404-7
Q48829;A Fine Balance;book;;;;historical novel;978-0-679-44608-8
Q177359;Alexiad;book;;;;;
Q442;Natural History;encyclopedia published circa AD 77–79 by Pliny the Elder;Naturalis historia;;;encyclopedia;
Q30613;Windmills of the Gods;novel by Sidney Sheldon;;;;novel;978-0-688-06570-6
Q132269;Howl's Moving Castle;fantasy book;;;;novel,fantasy novel;978-85-01-07546-8
Q25750;The Casual Vacancy;novel by J.K. Rowling;The Casual Vacancy;;;tragicomedy,novel,black comedy;978-1-4087-0420-2
Q62879;A Christmas Carol;novella by English author Charles Dickens first published in 1843;A Christmas Carol. In Prose. Being a Ghost Story of Christmas.;;Marley was dead, to begin with.;novella;
Q166334;Charlotte Löwensköld;book;;;;novel;
Q154766;Captains of the Sands;novel by Jorge Amado;;;;novel;
Q447;Encyclopédie;general encyclopedia published in France between 1751 and 1772;;;;encyclopedia;
Q49060;A People's Tragedy;book by Orlando Figes;;;;;
