book_id;book_label;book_description;title;subtitle;first_line;series
Q4672;English Passengers;2000 historical novel;English Passengers;;;
Q25435;Social Outsiders in Nazi Germany;2001 non-fiction book. Ed. by Robert Gellately and Nathan Stoltzfus;Social Outsiders in Nazi Germany;;;
Q18725;Lamb: The Gospel According to Biff, Christ's Childhood Pal;novel by Christopher Moore;Lamb: The Gospel According to Biff, Christ's Childhood Pal;;;
Q26193;The Protocols of the Elders of Zion;antisemitic hoax;Програма завоевания мира евреями;;;
Q8279;Shahnameh;long epic Persian poem written by Ferdowsi;شاهنامه;;به نام خداوند جان و خرد کزین برتر اندیشه برنگذرد;
Q11336;Heart;children's novel;Cuore;;;
Q31692;Moskof Cariye Hürrem;Turkish novel;Moskof Cariye Hürrem;;;
Q25091;Stigma of the Wind;novel series;Stigma of the Wind;;;
Q470;World Brain;collection of essays by H. G. Wells;World Brain;;;
Q8563;The Hundred and One Dalmatians;1956 children's novel;The Hundred and One Dalmatians;;;
Q29399;The Tower;2008 novel written by Uwe Tellkamp;Der Turm;Geschichte aus einem versunkenen Land;;
Q4710;The Sandman: Endless Nights;graphic novel;The Sandman: Endless Nights;;;The Sandman
Q38793;The Abyss;Yourcenar novel;L’Œuvre au noir;;;
Q26541;Dr. No;1958 novel by Ian Fleming;Dr. No;;;James Bond
Q38190;Sour Sweet;book;Sour Sweet;;;
Q8650;10 tips on how to stop killing people and start doing the dishes;Icelandic novel by Hallgrímur Helgasson;10 tips on how to stop killing people and start doing the dishes;;;
Q40185;The Divine Comedy;epic poem by Dante Alighieri;Commedia;;pico;
Q38564;The Warlock: The Secrets of the Immortal Nicholas Flamel;book;The Warlock: The Secrets of the Immortal Nicholas Flamel;;;The Secrets of the Immortal Nicholas Flamel
Q11829;Hansel and Gretel;fairy tale;Hansel and Gretel;;;
Q35690;I Am a Cat;satirical novel by Natsume Sōseki;吾輩は猫である;;吾輩は猫である。名前はまだ無い。;
Q8265;Dream of the Red Chamber;One of China's Four Great Classical Novels;红楼梦;;卻說那女媧氏煉石補天之時，於大荒山無稽崖煉成高十二丈、見方二十四丈大的頑石三萬六千五百零一塊。那媧皇只用了三萬六千五百塊，單單剩下一塊未用，棄在青埂峰下。誰知此石自經鍛煉之後，靈性已通，自去自來，可大可小。因見眾石俱得補天，獨自己無才，不得入選，遂自怨自愧，日夜悲哀。;
Q10202;Travels with a Donkey in the Cévennes;1879 book by Robert Louis Stevenson;Travels with a Donkey in the Cévennes;;;
Q33787;The Adventurer;novel;The Adventurer;;;
Q447;Encyclopédie;general encyclopedia published in France between 1751 and 1772;Encyclopédie;;;
Q4804;Oxygen;novel by Andrew Miller;Oxygen;;;
Q24323;Seven Pillars of Wisdom;autobiography of British soldier T. E. Lawrence;Seven Pillars of Wisdom;A Triumph;;
Q5825;Lend Me Your Ears;British book by Boris Johnson;Lend Me Your Ears;;;
Q36393;The Little Red Book;book of selected statements from speeches and writings by Mao Zedong;The Little Red Book;;;
Q29270;Systema Naturae;major work by Carolus Linnaeus;Systema Naturae;;;
Q36097;The Trial;novel by Franz Kafka;Der Prozess;;Someone must have been telling lies about Joseph K., for without having done anything wrong he was arrested one fine morning.;
Q32594;Franz Kafka: The Office Writings;book;Franz Kafka: The Office Writings;;;
Q27544;Mao: The Unknown Story;biography by Jung Chang and Jon Halliday;Mao: The Unknown Story;;;
Q27453;The Bible Unearthed;2001 book about the archaeology of Israel and its relationship to the origins of the Hebrew Bible;The Bible Unearthed;;;
Q28172;World War Z;horror novel written by Max Brooks;World War Z;An Oral History of the Zombie War;;
Q27331;The Beast in the Jungle;novella;The Beast in the Jungle;;;
Q27321;One Day in the Life of Ivan Denisovich;novel by the Russian author Aleksandr Solzhenitsyn;Один день Ивана Денисовича;;;
Q39961;Fervor de Buenos Aires;book of poetry by Jorge Luis Borges;Fervor de Buenos Aires;;;
Q6507;Finnegans Wake;comic fiction by James Joyce;Finnegans Wake;;riverrun, past Eve and Adam's, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back to Howth Castle and Environs.;
Q31285;Thérèse Desqueyroux;Novel by François Mauriac;Thérèse Desqueyroux;;;
Q28491;The Betrothed;Italian historical novel by Alessandro Manzoni;I promessi sposi;;;
Q2222;Uncle Tom's Cabin;anti-slavery novel by Harriet Beecher Stowe;Uncle Tom's Cabin; or, Life Among the Lowly;;;
Q31720;The New Life;novel by Orhan Pamuk;Yeni Hayat;;;
Q25555;The Party Journalist;2012 non-fiction book by Patrick Conley;Der parteiliche Journalist;;;
Q38213;Such a Long Journey;book by Rohinton Mistry;Such a Long Journey;;;
Q28306;A Dance with Dragons;novel by George R. R. Martin;A Dance with Dragons;;;A Song of Ice and Fire
Q30925;Ten Days that Shook the World;book by John Reed;Ten Days that Shook the World;;;
Q28754;Paradise Lost;epic poem;Paradise Lost;;Of Mans First Disobedience, and the Fruit;
Q23172;Altdeutsches Namenbuch;book of place names;Altdeutsches Namenbuch;;;
Q27352;The Jesus Dynasty;novel;The Jesus Dynasty;;;
Q4791;The Story of Lucy Gault;2002 novel;The Story of Lucy Gault;;;
Q24555;Abramowitz and Stegun;informal name of a mathematical reference work;Handbook of Mathematical Functions with Formulas, Graphs, and Mathematical Tables;;;
Q30613;Windmills of the Gods;novel by Sidney Sheldon;Windmills of the Gods;;;
Q32136;The Colour of Magic;Discworld novel by Terry Pratchett;The Colour of Magic;;;Rincewind
Q27592;The Psychopathology of Everyday Life;Work by Sigmund Freud;Zur Psychopathologie des Alltagslebens;;;
Q8251;The Art of War;ancient Chinese military treatise;The Art of War;;;Seven Military Classics
Q18990;Hunminjeongeum;15th century document detailing a new Korean script;훈민정음;;;
Q31179;The Ballad of Peckham Rye;book by Muriel Spark;The Ballad of Peckham Rye;;;
Q23163;A Scientific Romance;novel;A Scientific Romance;;;
Q20124;On the Origin of Species;book by Charles Darwin;On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life;;;
Q11191;The World Factbook;reference resource;The World Factbook;;;
Q26004;Lehrbuch der Topologie;book;Lehrbuch der Topologie;;;
Q11678;The Hunger Games;2008 novel by Suzanne Collins;The Hunger Games;;;The Hunger Games
Q1845;Bible;collection of sacred books in Judaism and Christianity;Bible;;;
Q428;Quran;the central religious text of Islam;Quran;;;
Q13231;Course in General Linguistics;book compiled by Charles Bally and Albert Sechehaye;Cours de linguistique générale;;;
