city_id;label;description;area;population;id
Q23066;Cumbria;county in England;718247.24;499858;Q23066
Q1248783;A'Tuin;;;;Q1248783
Q10944852;Essos;;;;Q10944852
Q13156901;National Maternity Hospital, Dublin;;;;Q13156901
Q27044157;Privet Drive;;;;Q27044157
Q3276444;Little Hangleton;fictional location in Harry Potter;;;Q3276444
Q7417543;Sandymount Strand;;;;Q7417543
Q1054923;British Hong Kong;former Crown colony and British dependent territory in Southeast Asia;;;Q1054923
Q18389;New England;region in the northeastern parts of the United States consisting consisting of the federated states of Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island and Vermont;71991.8;;Q18389
Q15299049;Hogwarts grounds;fictional area in the Harry Potter universe;;;Q15299049
Q19915510;Variety Theater;;;;Q19915510
Q27924622;Hogwarts Castle;fictional building in the Harry Potter universe;;;Q27924622
Q20;Norway;constitutional monarchy in Northern Europe;385207;5124383;Q20
Q668;India;federal republic in southern Asia;3287263;1263200000;Q668
Q84;London;capital of England and the United Kingdom;1572;8787892;Q84
Q28601860;#7 Eccles street;fictional home of Leopold Bloom in James Joyce's Ulysses;;;Q28601860
Q3360786;Number 12, Grimmauld Place;;;;Q3360786
Q181306;Digne-les-Bains;commune in Alpes-de-Haute-Provence, France;117.07;16512;Q181306
Q1263215;Glasnevin Cemetery;cemetery in Glasnevin, Dublin, Ireland; largest non-denominational cemetery in the country;50;;Q1263215
Q902997;Forest of Dean;geographical, historical and cultural region in Gloucestershire, England;;;Q902997
Q1003997;Judea;Roman province;;;Q1003997
Q220;Rome;capital city of Italy;1287.36;518917;Q220
Q21;England;country in north-west Europe, part of the United Kingdom;130278.43;53012456;Q21
Q834374;Diagon Alley;fictional street in the Harry Potter universe;;;Q834374
Q1321735;Chamber of Secrets;;;;Q1321735
Q90;Paris;capital city of France;105.4;2240621;Q90
Q834374;Diagon Alley;fictional street in the Harry Potter universe;;;Q834374
Q90;Paris;capital city of France;105.4;2240621;Q90
Q29;Spain;constitutional monarchy in Southwest Europe;505990;30455000;Q29
Q934381;Macondo;fictional town created by Gabriel García Márquez;;;Q934381
Q27924622;Hogwarts Castle;fictional building in the Harry Potter universe;;;Q27924622
Q213344;Montreuil;commune in Pas-de-Calais, France;2.85;2148;Q213344
Q4404475;Garden Aquarium;;;;Q4404475
Q14834627;Treasure Island;fictional Island;;;Q14834627
Q5500969;Freeman's Journal;;;;Q5500969
Q27924622;Hogwarts Castle;fictional building in the Harry Potter universe;;;Q27924622
Q2481438;Forbidden Forest;fictional forest in the Harry Potter universe;;;Q2481438
Q15299049;Hogwarts grounds;fictional area in the Harry Potter universe;;;Q15299049
Q62;San Francisco;consolidated city-county in California, United States;600.592202;805235;Q62
Q99;California;state of the United States;423970.0;33871648;Q99
Q27;Ireland;republic covering major parts of the island of Ireland;70274.147397;4761865;Q27
Q30;United States of America;federal republic in North America;9826675;323952889;Q30
Q84;London;capital of England and the United Kingdom;1572;8787892;Q84
Q128499;Yalta;town in Crimea;283;79457;Q128499
Q237367;Montfermeil;commune in Seine-Saint-Denis, France;5.45;25945;Q237367
Q1032551;North Devon;Parliamentary constituency in the United Kingdom;;;Q1032551
Q60;New York City;city in state of New York, largest city in the United States by population;1214;8405837;Q60
Q5242183;Davy Byrne's pub;;;;Q5242183
