edition_id;edition_label;edition_description
Q29386542;Stops of Various Quills;
Q41525745;The conditions of agricultural growth;
Q54825867;;
Q17361124;History and Structure (English edition, 1981);
Q40578896;L’Origine des espèces (1906);
Q9170725;Biblia Paulistów;
Q41529910;Évolution agraire et pression démographique;
Q40997346;Große Bayerische Biographische Enzyklopädie;
Q18086919;;
Q54824525;;
Q54821418;;
Q54825303;;
Q22122596;Le Temps de l'Afrique;
Q54825617;Encounter at Farpoint;
Q27928735;;
Q19037581;The World Factbook, 2004;
Q23304764;;
Q21175970;The Pilgrim's Progress;
Q54824538;Sins of Commission;
Q21014429;The Complete Encyclopedia of World Aircraft;
Q50327102;...I never saw another butterfly...;
Q54821011;Daedalus's Children;
Q22282264;;
Q54825429;;
Q54821763;The Rise and Fall of Khan Noonien Singh, Volume 2;
Q54825824;;
Q23689857;Hommes et choses en Perse;
Q54860475;;
Q21193881;;
Q30017352;The Social Life of Information;
Q54825192;;
Q23010262;;
Q54821147;The Prometheus Design;
Q43959381;;
Q35167318;;
Q54820901;;
Q41600680;Heraldischer Atlas;
Q28755430;Change in Command, hardcover edition;
Q18748556;Teaming with Microbes;
Q33515024;;
Q51796085;Kámen mudrců;
Q54821557;;
Q16875304;Diccionario Akal de Teatro (1997);
Q17902573;Caravaggio's 'Death of the Virgin' (first edition);
Q18607214;Vies et doctrines des philosophes illustres;
Q16184679;ᅟHunminjeongeum Unhae;
Q19347880;Filmbild und Körperwelt (first edition);
Q19016690;The New Method of Inoculating for the Small-Pox (3rd edition);
Q55047340;Fleischer’s Glossary of Mineral Species 2004;
Q19183110;La Divine Comédie (Montor);
Q27469702;Vybrané báje a pověsti národní I;
Q54826000;;
Q54826112;;
Q54825418;;
Q54007311;A biographical and critical dictionary of painters and engravers, edition 1816;
Q15730805;Kidnapped in London, first edition;
Q54824515;;
Q19131717;The Invisible Man;
Q54826126;;
Q15631654;;
Q54821572;Incident at Arbuk;
Q50321089;Trapné povídky;
Q54825191;;
Q19360096;;
Q54825104;;
Q20783897;;
Q42197716;The World Is Flat, 3.0;
Q19178828;;
Q50319943;The Joke;
Q54824978;Q-Zone;
Q54821766;;
Q54825857;;
Q54825890;;
Q54821387;Memory Prime;
Q21540331;Il mio Carso;
Q54824546;What Price Honor?;
Q54825249;;
Q19795166;Abbey of Bliss;
Q25932921;;
Q23679529;;
Q54825607;;
Q54825772;;
Q7007870;New Grub Street;
Q54825131;;
Q42766996;L'Homme qui revient de loin;
Q54825537;The Kobayashi Maru;
Q50320142;Žert;
Q54826103;;
Q54825242;;
Q53313198;;
Q42281475;Mary Wollstonecraft Godwin;
Q19758794;;
Q54824530;;
Q27893345;The Jewish Time Line Encyclopedia, New Updated Edition;
Q54825148;;
Q50320091;Žert;
Q54824828;;
Q51439939;American seashells (1st edition);
Q23662523;William Blake: The Complete Poems;
Q54825460;;
Q54825027;;
Q54825555;War Drums;
Q33515111;;
Q15104588;Les 1001 albums qu'il faut avoir écoutés dans sa vie;
Q54435783;Master the GRE;
Q54825074;;
Q54821690;The Rise and Fall of Khan Noonien Singh, Volume 1;
Q25538597;;
Q54825291;;
Q29040505;Chronicle of the year 1992;
Q55316068;Karakahini;
Q12346996;En la Fino de la Mondo;
Q54825407;Gulliver's Fugitives;
Q28365720;;
Q19100689;The Tenant of Wildfell Hall, emended 1st edition;
Q54824845;Battlestations!;
Q54825095;Bloodletter;
Q38098410;Nea Salamina, 40 years pioneering sports history (1st edition);
Q15220481;Monsieur le Président;
Q54825208;;
Q19799217;The True Benjamin Franklin;
Q54825109;The Tears of the Singers;
Q54821032;Pawns and Symbols;
Q54825998;;
Q51885426;A Little Princess;
Q40580209;Aventures d'Alice au pays des merveilles;
Q54825125;Fire in High;
Q15152326;The Autobiography of Alice B. Toklas (1st edition);
Q54824898;Enemy Unseen;
Q54435834;Master the GRE;
Q19018639;Блакiтная кнiга Беларусi: энцыкл.;
Q22340538;Köchel catalogue (1964 edition);
Q22138600;;
Q15732180;The Adventures of Werner Holt (vol. 2);
Q41697375;Zadig czyli Los;
Q54825879;;
Q19173852;;
Q54825595;Greater than the Sum;
Q22674830;;
Q17042869;;
Q54825107;;
Q33014437;Studies on Marx and Hegel;
Q54825459;;
Q19075587;Ten Days That Shook the World;
Q54825111;;
Q18676876;Mencius (Legge);
Q54825215;;
Q52374421;City on Fire;
Q33515177;;
Q15635617;;
Q54821001;;
Q19795188;Dawn over India;
Q41525111;Sprich wie ein Klingone;
Q41588604;Danish TV-satire - entertainment with an edge (1st edition);
Q54825992;Surak's Soul;
Q28101541;Patrimonio arquitectónico y artístico de la Universidad de La Laguna (1 ed.);
Q50846077;Satanism: a social history (2016 Brill ed.);
Q54825328;;
Q54826018;Death of a Neutron Star;
Q54825765;Shadows On The Sun;
Q20036816;Framley Parsonage;
Q51535984;Palli-samaj;
Q19020912;A Daughter of Eve;
Q54825892;Star Trek Generations;
Q54825795;;
Q50326940;I Never Saw Another Butterfly;
Q15996608;Ulysses (2004 German translation);
Q54825061;;
Q54825363;;
Q55417483;Microcomputer dictionary;
Q24757891;;
Q43045953;Qu’est-ce que l’art ?;
Q54825953;Captain's Glory;
Q13479099;Mythes de la Grèce archaïque;
Q50331451;Kloktat dehet;
Q170093;Vetus Latina;
Q33514745;;
Q54825608;;
Q46433969;The Divine Comedy, Volume II;
Q25529453;The Pacing Mustang: Stories About Animals;
Q26260401;Amphibian Man. The Ruler of the World. The Star KETs;
Q15053155;Military Transport: Trucks & Transporters, New Edition;
Q22154635;Les Chevaux;
Q43585251;;
Q53747871;;
Q18059293;first edition;
Q54824650;;
Q23301403;;
Q54824620;;
Q33514106;;
Q54825640;;
Q44364785;The Tale of Peter Rabbit;
Q6455517;L'Alcoran de Mahomet;
Q33514504;;
Q14272080;;
Q54824507;;
Q54825742;Rosetta;
Q16935498;Elminster: The Making of a Mage;
Q54824900;;
Q54825266;;
Q54825498;;
Q19795175;The Poison Tree;
Q29625164;Manual de Madrid: descripción de la Corte y de la Villa (1833);
Q50327547;Od housliček po buben;
Q28973010;Los españoles pintados por sí mismos (ed. 1851);
Q54431299;;
Q19923902;Operas in English : a dictionary (Revised edition);
Q21065641;;
Q54825798;;
Q4547210;10th edition of Systema Naturae;
Q54825282;Renaissance;
Q21694395;Cryptology Unlocked;
Q54825018;;
Q51624759;The Mystery of Edwin Drood;
Q54826136;;
Q54824520;The Klingon Hamlet;
Q19523670;Bezděkova Bible;
Q54825664;;
Q19364667;Struggle for Empire: Kingship and Conflict Under Louis the German, 817-876 (1st edition);
Q21168555;;
Q54825985;To Storm Heaven;
Q21916830;An Introduction to the Rock-Forming Minerals (1966);
Q54825653;Mission to Horatius;
Q54820931;;
Q50331427;Gargling with tar;
Q29868610;History of Alabama and Dictionary of Alabama Biography, Volume II;
Q26254165;Aphorisms;
Q54824537;;
Q19857787;The Rescue;
Q50305203;Grammaire typographique;
Q54821143;;
Q42556881;Хлеб и воля;
Q54820949;;
Q54825859;;
Q54825113;;
Q50331065;Spoelen met teerzeep;
Q37729471;;
Q36393801;The Isle of Wight Central Railway;
Q54825254;;
Q54824004;Schutzfermente des tierischen organismus (1912 edition);
Q54821071;;
Q54825327;;
Q16653535;Le choix de l'amour;
Q22338962;Köchel catalogue (1862 edition);
Q54826012;The Expanse;
Q48333497;An Antarctic Mystery;
Q54820992;;
Q54824804;;
Q54825198;;
Q16460065;Steve Jobs (1st ed.);
Q17419571;Białoruś;
Q22703995;Institutes coutumières (1608);
Q41413458;;
Q18718986;;
Q19009418;Medical Inquiries and Observations upon Diseases of the Mind (1835);
Q54825105;The Captain's Daughter;
Q26207624;;
Q54825000;;
Q54825740;Requiem;
Q54824858;;
Q50295550;Famfrpál v průběhu věků;
Q50305392;Le Ramat typographique;
Q54824806;;
Q55215613;Galería biográfica de artistas españoles del siglo XIX (1883-1884);
Q19556978;;
Q54825761;Sarek;
Q28137325;Федр;
Q22678011;The heart of the Antarctic;
Q19445944;;
Q15892039;;
Q54825864;Spocks World;
Q35166509;;
Q54825917;;
Q54825685;;
Q33515093;;
Q22227070;;
Q54860481;;
Q54825569;Martyr;
Q54825146;;
Q44054875;The New Carthage;
Q54825711;Quarantine;
Q54826089;;
Q15062317;The Bluejacket's Manual, 21st Edition, Corrected;
Q21957396;Paradise Lost (1674);
Q17398133;Skorowidz miejscowości Rzeczypospolitej Polskiej: opracowany na podstawie wyników pierwszego powszechnego spisu ludności z dn. 30 września 1921 r. i innych źródeł urzędowych. T. 5: Województwo białostockie;
Q22669939;;
Q54825403;;
Q54825603;Being Human;
Q55044917;Glossary of Mineral Species 1980;
Q29056765;;
Q21540328;Il mio Carso;
Q18330734;Blaszany bębenek;
Q54825365;;
Q19208968;;
Q54821054;;
Q15649509;Saur allgemeines Künsterlexikon;
Q54825118;;
Q54826118;;
Q54824510;;
Q3492456;Brest Bible;
Q54825193;Here There Be Dragons;
Q54826036;;
Q16335845;Bellori's Lives of the Artists (2005);
Q54745037;Report of the Second Norwegian Arctic Expedition in the "Fram," 1898-1902 (volume 1);
Q28803067;The Gambler;
Q47520220;;
Q54825570;;
Q54825645;;
Q47294514;;
Q19022466;A Journal of a Voyage to the South Seas in His Majesty's Ship the Endeavour;
Q21208967;A comprehensive Indonesian-English Dictionary;
Q54825816;Spock, Messiah!;
Q26161226;;
Q54825368;;
Q55078601;The Book of Isaiah and God's Kingdom (2016 ed.);
Q24020424;;
Q50804636;Historia, el libro (1st edition);
Q14272053;;
Q33515191;;
Q54824890;;
Q51620243;;
Q16673768;;
Q54825302;;
Q18747972;Telemachida;
Q51845635;;
Q15054611;BAe/McDD Harrier;
Q27457165;Aurora Australis;
Q23693317;The Pastorals of Virgil with a Course of English Reading adapted for Schools;
Q28137310;;
Q54825626;;
Q47520272;;
Q54825060;;
Q54825082;The Rings Of Tautee;
Q15056552;Робінзон Крузо;
Q19525492;De apokryfiska böckerna;
Q24255018;The Art of Zootopia;
Q54824961;;
Q10511148;Gustav II Adolf Bible;
Q15894330;Travels in Esperanto-Land (1st edition);
Q19921500;Music Since 1900 (6th edition);
Q33012142;La Confession;
Q54825422;;
Q21486853;Chess Variations: Ancient, Regional, and Modern (1st edition);
Q54820925;;
Q33514984;;
Q14624843;Journal de Anne Frank;
Q30302612;Illuminated and Decorated Medieval Manuscripts in the University Library, Utrecht (1st edition, 1989);
Q22949048;Jewish Encyclopedia, 1 edition;
Q54825351;;
Q24063149;;
Q19595192;Chronology 1 (second edition);
Q54825447;Imzadi;
Q55043977;Fleischer's Glossary of Mineral Species 2018;
Q54826008;The Autobiography of James T. Kirk;
