character_id;character_label;character_description;character_name;character_sex;character_DoB;character_DoD
Q3307719;Meyer Wolfshiem;fictional character in The Great Gatsby;Meyer Wolfshiem;male;;
Q170534;Hercule Poirot;fictional Belgian detective by Agatha Christie;Hercule Poirot;male;;+1949-10-00T00:00:00Z
Q30249955;Soliman;character from Musil's The Man Without Qualities;Soliman;male;+1890-00-00T00:00:00Z;
Q2991073;Comtesse de Listomère-Landon;Honoré de Balzac character;Comtesse de Listomère-Landon;;;
Q20730767;Stamford;;Stamford;male;;
Q2530488;Tisroc;;Tisroc;male;;
Q1104987;Ernst Stavro Blofeld;fictional James Bond villain;Ernst Stavro Blofeld;male;+1908-05-28T00:00:00Z;+1981-00-00T00:00:00Z
Q2737692;Christine Chapel;Star Trek Character;Christine Chapel;female;;
Q2094514;Peppermint Patty;character in the Peanuts media franchise;Peppermint Patty;female;;
Q246154;M;James Bond character;M;;;
Q9388806;Zbyszko of Bogdaniec;fictional character;Zbyszko of Bogdaniec;male;+1381-00-00T00:00:00Z;
Q47488848;Jean Farlow;character from Vladimir Nabokov's Lolita;Jean Farlow;female;+1916-00-00T00:00:00Z;+1949-00-00T00:00:00Z
Q24935037;Father Zosima;character in The Brothers Karamazov;Father Zosima;male;;
Q3391402;Planchet;;Planchet;male;;
Q3557638;Victor d'Aiglemont;Honoré de Balzac character;Victor d'Aiglemont;male;+1783-01-01T00:00:00Z;
Q3141938;Hubert Bonisseur de La Bath;main character of the OSS 117 novels;Hubert Bonisseur de La Bath;male;;
Q3189085;Bean;character in the Ender's Game series;Julian Delphiki;male;;
Q2469324;Randolph Carter;fictional human;Randolph Carter;;;
Q46578232;songsu-ig;;songsu-ig;;;
Q28602472;C. P. M'Coy (fictional character);character in James Joyce's Ulysses and Dubliners;C. P. M'Coy (fictional character);;;
Q15732741;Mazer Rackham;Fictional character from the Ender’s Game series;Mazer Rackham;male;;
Q11719930;Jankiel;fictional character;Jankiel;male;;
Q4274250;Madame Gritsatsuyeva;fictional character in Ilf and Petrov's novel The Twelve Chairs;Madame Gritsatsuyeva;female;;
Q3606643;;;;female;;
Q27702918;Pierre Gringoire;character from Victor Hugo's The Hunchback of Notre Dame;Pierre Gringoire;male;+1450-00-00T00:00:00Z;
Q1750813;Erik;character from Gaston Leroux's novel The Phantom of the Opera;Erik;male;;
Q20190268;Victarion Greyjoy;;Victarion Greyjoy;male;;
Q18516401;Elettra Zorzi;secretary in Donna Leon's Commissario Brunetti novels;Elettra Zorzi;female;;
