character_id;character_label;character_description;character_name;character_sex;character_DoB;character_DoD
Q208256;Diomedes;hero in Greek mythology;Diomedes;male;;
Q183417;Chiron;centaur, figure from Greek mythology;Chiron;male;;
Q647496;Linus;son of Apollo and Urrania;Linus;male;;
Q2362299;Rhett Butler;fictional character from Gone with the Wind by Margaret Mitchell;Rhett Butler;male;;
Q129866;Minotaur;creature of Greek mythology;Μῑνώταυρος;male;;
Q669992;Rincewind;fictional character;Rincewind;male;;
Q721135;Azazel;old ritual, later - demon;Azazel;male;;
Q830183;Eve;biblical figure;Eve;female;-3760-00-00T00:00:00Z;
Q474962;Amphisbaena;mythological serpent;Amphisbaena;;;
Q9077;Moses;person, mentioned in the Torah (Pentateuch) and in the Quran, who led the Israelites out of slavery in Egypt to Canaan;מֹשֶׁה;male;-1393-00-00T00:00:00Z;-1273-00-00T00:00:00Z
Q6113413;Rucio;;Rucio;;;
Q3749188;;;;male;;
Q3713482;Don Abbondio;One of the main characters of The Betrothed, the best known novel by Alessandro Manzoni.;Don Abbondio;;;
Q382610;Fionn mac Cumhaill;;Fionn mac Cumhaill;male;;
Q174353;Orpheus;legendary musician, poet, and prophet in ancient Greek religion and myth;Orpheus;male;;
Q220822;Esau;older son of Isaac in the Hebrew Bible;Esau;male;-1653-00-00T00:00:00Z;-1506-00-00T00:00:00Z
Q671872;Isaac;Biblical character;Isaac;male;-1713-00-00T00:00:00Z;-1533-00-00T00:00:00Z
Q250506;Tydeus;figure in Greek mythology;Tydeus;male;;
Q192673;Iphigenia;figure from Greek mythology;Iphigenia;female;;
Q4221831;;;;male;+1815-00-00T00:00:00Z;
Q26492768;Modestine;fictional donkey from Stevenson's Travels with a Donkey in the Cévennes;Modestine;unknown;;
Q275010;Moloch;Biblical name of a Canaanite god;Moloch;male;;
Q70899;Adam;biblical figure in the Book of Genesis;Adam;male;-3760-00-00T00:00:00Z;-2831-00-00T00:00:00Z
Q849647;Briareus;one of the Hundred-Handers;Briareus;male;;
Q725527;Calchas;mythical character;Calchas;male;;
Q180262;Erinyes;group of fictional characters;Erinyes;;;
Q41746;Achilles;Greek mythological hero;Achilles;male;;
Q330584;Amphiaraus;mythical character;Ἀμφιάραος;male;;
Q334817;Polynices;mythological prince of Thebes;Polynices;male;;
Q223805;Angra Mainyu;personification of the "destructive spirit" in Zoroastrianism;Angra Mainyu;;;
Q81989;Gabriel;angel in Abrahamic religions;Gabriel;male;;
