human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q330895;Ulrich von Jungingen;German noble;Ulrich von Jungingen;male;+1360-01-08T00:00:00Z;+1410-07-15T00:00:00Z;nc
Q3064195;Hovsep Ier de Holotsim;;;male;;+0454-07-25T00:00:00Z;nc
Q1067;Dante Alighieri;Italian poet;Dante Alighieri;male;+1265-05-00T00:00:00Z;+1321-09-14T00:00:00Z;nc
Q12316446;Henrik Sass Larsen;Danish politician;Henrik Sass Larsen;male;+1966-05-29T00:00:00Z;;nc
Q6197;Horace;Roman lyric poet;Q. Horatius Flaccus;male;-0065-12-08T00:00:00Z;-0008-11-27T00:00:00Z;nc
Q1281235;Abas I of Armenia;King of Armenia;Աբաս Ա;male;+0880-01-01T00:00:00Z;+0953-01-01T00:00:00Z;nc
Q234931;Princess Caroline of Naples and Sicily;Italian princess;;female;+1798-11-05T00:00:00Z;+1870-04-17T00:00:00Z;nc
Q20511704;;;;male;;+0852-00-00T00:00:00Z;nc
Q41166;Jonathan Swift;Anglo-Irish satirist, essayist, and poet;Jonathan Swift;male;+1667-11-30T00:00:00Z;+1745-10-19T00:00:00Z;nc
Q1707785;Joseph Patrick Nannetti;Irish politician;Joseph Patrick Nannetti;male;+1851-01-01T00:00:00Z;+1915-04-26T00:00:00Z;nc
Q11050431;Yue Yun;son of Yue Fei;;male;+1119-00-00T00:00:00Z;+1141-00-00T00:00:00Z;nc
Q6780526;Mary Pius Regnier;Catholic leader from the USA;Helen Marie Regnier;female;+1914-04-28T00:00:00Z;+2005-11-27T00:00:00Z;nc
Q3021759;Meruzhan Artsruni;Armenian general;;male;;+0381-01-01T00:00:00Z;nc
Q7523;Kublai Khan;founding emperor of the Yuan Dynasty, grandson of Genghis Khan;ᠬᠤᠪᠢᠯᠠᠢ ᠬᠠᠭᠠᠨ;male;+1215-09-23T00:00:00Z;+1294-02-18T00:00:00Z;nc
Q353081;Robert de Sablé;Grand Master of the Knights Templar;Robert IV de Sablé;male;+1150-01-01T00:00:00Z;+1193-09-30T00:00:00Z;nc
Q262513;John Felton;English assassin;;male;+1595-01-01T00:00:00Z;+1628-10-29T00:00:00Z;nc
Q3524240;Thierry Ehrmann;French businessman;;male;+1962-03-13T00:00:00Z;;nc
Q36591;Vladimir Nabokov;Russian-American novelist, lepidopterist, professor;Владимир Владимирович Набоков;male;+1899-04-10T00:00:00Z;+1977-07-02T00:00:00Z;nc
Q57109;Josef Mengele;Nazi officer and physician;Josef Mengele;male;+1911-03-16T00:00:00Z;+1979-02-07T00:00:00Z;nc
Q5582;Vincent van Gogh;Dutch painter;Vincent Willem Van Gogh;male;+1853-03-30T00:00:00Z;+1890-07-29T00:00:00Z;nc
Q9011959;Joan Llimona;Spanish painter;;male;+1860-02-23T00:00:00Z;+1926-06-23T00:00:00Z;nc
Q5082131;Charles Robinson;English book illustrator;;male;+1870-01-01T00:00:00Z;+1937-01-01T00:00:00Z;nc
Q722999;Erhard Reuwich;Dutch artist;;male;+1445-01-01T00:00:00Z;+1505-01-01T00:00:00Z;nc
Q1280744;Vardan Mamikonian;Armenian military leader and saint;Վարդան Մամիկոնյան;male;+0388-01-01T00:00:00Z;+0451-06-03T00:00:00Z;nc
Q103598;Luc Montagnier;French virologist and joint recipient of the 2008 Nobel Prize in Physiology or Medicine;Luc Montagnier;male;+1932-08-18T00:00:00Z;;nc
