city_id;city_label;city_description;realCity_area;realCity_population
 city of Ireland;114990000;527612
Q159498;Bagnoregio;Italian comune;72.81;3615
Q1792;Gdańsk;main city in Pomeranian Voivodeship, Poland;262;462249
Q875133;Kierling;cadastral municipality of Klosterneuburg, Lower Austria;;
Q654019;Příbor;Town in the Czech Republic;22.14;8529
Q190684;County Down;county of Northern Ireland;2448;
Q8717;Seville;city in the province of Seville, Spain;140000000;700169
Q944814;Theatre of Pompey;theatre in ancient Rome;;
Q4281399;Mariinsky Hospital for the Poor;;;
Q53858;Celico;Italian comune;99.75;2763
Q42945;Goito;Italian comune;79.22;10278
Q858024;Hippo Regius;;;
Q13496;Brindisi;Italian comune;332.98;88126
Q681427;Tus;ancient city in Iran;;
Q1308;Como;Italian city;37.34;84394
Q656;Saint Petersburg;federal city in Russia and the former capital;1439;150300
Q743535;Chelsea;area of central London, England;;
Q2656;Palermo;Italian comune;158.9;674435
Q365;Cologne;city in North Rhine-Westphalia, Germany;405.02;1027679
Q90;Paris;capital city of France;105.4;2240621
Q844779;Gazipaşa;district in Antalya Province, Turkey;;
Q203293;Langres;commune in Haute-Marne, France;22.33;7877
Q197889;Zhongnanhai;imperial garden in central Beijing, China;;
Q35484;Medina;Saudi Arabian city;589000000;1180770
Q18869;Caucasus;region in Eurasia bordered on the south by Iran, on the southwest by Turkey, on the west by the Black Sea, on the east by the Caspian Sea, and on the north by Russia;;
Q1524;Athens;capital city of Greece;39;664046
Q189901;Argos;ancient Greek city;138.14;22209
Q572921;Lauingen;municipality of Germany;44.39;9308
Q52691;Venosa;Italian comune;170.39;11837
Q3038318;Down House;former home of the English naturalist Charles Darwin and his family;;
Q60;New York City;city in state of New York, largest city in the United States by population;1214;8405837
Q5990;Vercelli;Italian comune;79.78;46552
Q1747689;ancient Rome;civilisation that began growing on the Italian Peninsula from 8th century BC;;49000000
Q1757;Helsinki;city in Uusimaa, Finland and capital of Finland;213.75;603968
Q1775258;Fossanova Abbey;;;
Q185103;Roman Britain;part of the island of Great Britain controlled by the Roman Empire;;
Q33486;Hartford;city in and capital of Connecticut, United States;46.764198;124893
Q1068693;Cheapside;street in the City of London;;
Q23436;Edinburgh;capital city of Scotland, UK and local government council area;259;483000
Q18438;Long Island;island in New York, United States of America;3566;7804968
Q16990;Mount Etna;active stratovolcano on the east coast of Sicily, Italy;;
Q190828;Petah Tikva;city in Israel;35.868;230984
Q1794;Frankfurt;city in Hesse, Germany;248;701000
Q46940;Alcalá de Henares;city of Spain in the Madrid metropolitan area;88;204823
Q27;Ireland;republic covering major parts of the island of Ireland;70274.147397;4761865
Q216993;Ios;Greek island;108.713;
Q220;Rome;capital city of Italy;1287.36;518917
Q1549278;Machaerus;;;
Q170478;Bournemouth;town in the ceremonial county of Dorset, England;46.18;183491
Q49198;Danbury;city in Connecticut;114.450281;81671
Q159288;Santa Barbara;city in California;108.753384;88410
Q844930;Classical Athens;city-state in ancient Greece;;
Q159856;Duchy of Brabant;State of the Holy Roman Empire;;
Q16000109;Herodian kingdom;;;
Q209055;Torquay;town in Devon, England;;
Q116884;Fumone;Italian comune;14.84;2101
Q1297;Chicago;county seat of Cook County, Illinois, United States; third largest city in the United States by population;606.423602;2695598
Q187027;Kos;Greek island;290.3;
Q43407;Shandong;province of China;156700;95793065
Q406;Istanbul;largest city in Turkey;5343;14657434
Q101625;Marrakesh;city in Morocco;230;928850
Q15710617;Borgo Virgilio;Italian comune;69.99;14655
Q69445;Vufflens-le-Château;municipality in Switzerland;2.14;
Q23154;Bristol;city in South West England;110000000;442500
Q30;United States of America;federal republic in North America;9826675;323952889
Q5214961;Danbury Hospital;hospital;;
Q541;Orvieto;Italian comune;281.27;20841
Q2140586;Comana Pontica;ancient city of Pontus;;
Q486195;Khiva;city in Uzbekistan;;55568
Q6259;Pavia;Italian comune;63.24;72689
