author_id,book_id
Q621458,Q83585
Q9322562,Q184667
Q3335,Q967866
Q105167,Q259168
Q81989,Q428
Q9458,Q428
Q37731,Q428
Q699149,Q687239
Q13427383,Q331156
Q25550430,Q331156
Q1381,Q331156
Q134456,Q861486
Q193111,Q927075
Q296069,Q640795
Q38337,Q530910
Q766768,Q530910
Q235364,Q589106
Q800112,Q800352
Q40874,Q428339
Q45765,Q476871
Q800112,Q800532
Q43293,Q687357
Q82778,Q442
Q193405,Q967915
Q186273,Q861498
Q44519,Q530990
Q2372314,Q259309
Q298334,Q331228
Q312632,Q641258
Q168040,Q927251
Q450913,Q476873
Q216813,Q748372
Q334711,Q83599
Q82409,Q803863
Q237514,Q687432
Q605194,Q967983
Q9358,Q861527
Q706272,Q428533
Q708770,Q531630
Q892,Q331651
Q41502,Q927292
Q9364,Q477028
Q448,Q447
Q153232,Q447
Q584990,Q447
Q9364,Q260016
Q318406,Q83755
Q333719,Q641298
Q372984,Q589197
Q276126,Q589197
Q240786,Q803910
Q232417,Q428581
Q42511,Q470
Q586362,Q748705
Q42037,Q927619
Q57966,Q477434
Q211379,Q861933
Q216134,Q260205
Q238378,Q641423
Q5682,Q480
Q435032,Q428680
Q46248,Q927768
Q9204,Q331656
Q7197,Q968115
Q39829,Q804414
Q212476,Q862050
Q171091,Q185031
Q78509,Q83797
Q36322,Q477508
Q312579,Q589485
Q217619,Q927828
Q9204,Q331669
Q458618,Q687787
Q173481,Q428842
Q204868,Q83799
Q817691,Q532482
Q42,Q721
Q9711,Q477564
Q366266,Q968134
Q750904,Q968134
Q1512,Q185118
Q93450,Q928531
Q1383477,Q260702
Q76483,Q688426
Q430276,Q83880
Q240253,Q429159
Q76134,Q641807
Q892,Q533195
Q81877,Q533195
Q513004,Q805878
Q536861,Q589841
Q168569,Q331784
Q370921,Q477670
Q39829,Q968314
Q148234,Q928680
Q34981,Q260711
Q2247142,Q749274
Q320281,Q749274
Q209641,Q688963
Q93620,Q185449
Q380000,Q862536
Q336698,Q642354
Q318309,Q533391
Q186042,Q331797
Q34743,Q589868
Q4756973,Q92182
Q76483,Q968544
Q44461,Q477792
Q34253,Q185705
Q919140,Q185705
Q171091,Q749783
Q380265,Q928977
Q465237,Q429806
Q79759,Q642635
Q345104,Q533575
Q892,Q92463
Q92762,Q92463
Q315020,Q806174
Q892,Q331804
Q216195,Q260760
Q505154,Q968669
Q123078,Q689071
Q35802,Q862816
Q81447,Q185822
Q316610,Q589959
Q578031,Q589959
Q2594458,Q589959
Q6882,Q429967
Q892,Q332388
Q254041,Q807736
Q9204,Q477831
Q446605,Q750554
Q366266,Q862948
Q42156,Q185825
Q102513,Q2222
Q892,Q534739
Q2818964,Q590208
Q749714,Q430004
Q47243,Q968741
Q312579,Q808113
Q892,Q332581
Q312579,Q261728
Q166351,Q477994
Q173540,Q2870
Q34970,Q750670
Q7476096,Q690018
Q651763,Q642646
Q15080593,Q642646
Q27854192,Q642646
Q27854538,Q642646
Q315949,Q929165
Q294281,Q534888
Q1691383,Q590454
Q359548,Q185887
Q4985,Q863037
Q185856,Q808428
Q210669,Q969218
Q15711068,Q261979
Q102108,Q92553
Q4671,Q4672
Q40909,Q478016
Q313377,Q929184
Q36844,Q751012
Q3296911,Q751012
Q203445,Q642697
Q34670,Q690362
Q237087,Q430227
Q63193,Q186314
Q298221,Q590509
Q92775,Q92556
Q210059,Q4710
Q35610,Q863438
Q312853,Q808549
Q6519,Q969710
Q39829,Q262540
Q126779,Q332943
Q71211,Q478023
Q213974,Q478023
Q216112,Q478023
Q18507214,Q478023
Q1031599,Q642710
Q379595,Q751177
Q312853,Q534975
Q295431,Q4784
Q192069,Q590799
Q82925,Q430248
Q983424,Q810987
Q23481,Q690652
Q379628,Q969917
Q36322,Q333179
Q42,Q187655
Q892,Q534991
Q528826,Q4791
Q633302,Q751270
Q38193,Q929229
Q26116,Q92630
Q41166,Q264143
Q131149,Q863534
Q35064,Q642911
Q310379,Q187942
Q356428,Q478098
Q231708,Q969970
Q44272,Q334370
Q46248,Q690744
Q4731,Q4795
Q134798,Q751348
Q100948,Q591623
Q859,Q264241
Q219646,Q929409
Q835,Q188538
Q740373,Q430428
Q334609,Q334896
Q1274943,Q334896
Q2742045,Q334896
Q2538,Q334896
Q25161,Q643203
Q34981,Q864042
Q720306,Q4804
Q892,Q535795
Q20733,Q691326
Q294625,Q478110
Q312101,Q969992
Q214565,Q591892
Q84454,Q811086
Q38082,Q92640
Q468618,Q929438
Q180589,Q5825
Q273077,Q751574
Q283408,Q643846
Q1564825,Q864150
Q7979350,Q864150
Q695399,Q691789
Q950483,Q691789
Q41502,Q335315
Q892,Q478250
Q892,Q535896
Q4233718,Q970053
Q1761359,Q188563
Q37327,Q264451
Q171091,Q591997
Q171091,Q929608
Q6882,Q6507
Q160219,Q189378
Q19015,Q864250
Q753476,Q751678
Q4772375,Q751678
Q6968921,Q751678
Q193635,Q478326
Q316607,Q335645
Q210059,Q430514
Q224113,Q592078
Q272610,Q264519
Q265603,Q643901
Q93862,Q93673
Q123078,Q929821
Q203922,Q692019
