Q3963944;Q61324
Q2583524;Q130295
Q2382687;Q130295
Q3835867;Q130295
Q1168555;Q130295
Q2542307;Q130295
Q3822980;Q130295
Q2292767;Q130295
Q3821514;Q130295
Q210548;Q182502
Q626756;Q62879
Q11713659;Q169976
Q210548;Q81689
Q3244512;Q47209
Q176132;Q47209
Q187923;Q47209
Q174009;Q47209
Q173998;Q47209
Q1254953;Q47209
Q1114418;Q47209
Q179641;Q47209
Q177439;Q47209
Q712548;Q47209
Q616178;Q130924
Q781257;Q130924
Q1456741;Q130924
Q406021;Q130924
Q18679242;Q130924
Q1541235;Q130924
Q2223341;Q170583
Q19815569;Q170583
Q19816980;Q170583
Q2337271;Q170583
Q19816987;Q170583
Q2207092;Q170583
Q2250982;Q170583
Q6929362;Q170583
Q19817013;Q170583
Q2027772;Q183157
Q5511259;Q183157
Q17301560;Q183157
Q4195615;Q183157
Q4424324;Q183157
Q24939119;Q183157
Q18397642;Q183157
Q24935037;Q183157
Q25390788;Q183157
Q24939091;Q183157
Q27478344;Q183157
Q27583975;Q183157
Q732413;Q131068
Q1370497;Q131068
Q650680;Q131068
Q1136380;Q131068
Q2776580;Q131068
Q1889603;Q131068
Q939384;Q131068
Q6846247;Q131068
Q2715294;Q172850
Q630823;Q480
Q944201;Q480
Q1918252;Q480
Q1264776;Q480
Q6113413;Q480
Q6072772;Q480
Q5563337;Q480
Q2979585;Q191380
Q661491;Q191380
Q3073552;Q191380
Q520812;Q191380
Q510102;Q191380
Q1750634;Q191380
Q27702918;Q191380
Q27703517;Q191380
Q27703691;Q191380
Q8058;Q191380
Q1269082;Q92640
Q178776;Q92640
Q6926011;Q92640
Q2325524;Q92640
Q14828573;Q92640
Q5325395;Q92640
Q4395118;Q92640
Q430315;Q92640
Q1282345;Q92640
Q1263672;Q92640
Q950895;Q92640
Q5238309;Q92640
Q864751;Q92640
Q3640014;Q92640
Q934013;Q92640
Q2587090;Q92640
Q324433;Q92640
Q2668352;Q92640
Q54002293;Q92640
Q6412246;Q92640
Q26902936;Q92640
Q26902956;Q92640
Q223757;Q191540
Q716835;Q191540
Q519984;Q143031
Q3244512;Q47598
Q11773777;Q70784
Q1148977;Q70784
Q1197711;Q70784
Q2913871;Q70784
Q2879822;Q70784
Q3276134;Q70784
Q3275599;Q70784
Q1085823;Q70784
Q8018;Q40185
Q128176;Q40185
Q70899;Q40185
Q41410;Q40185
Q60059;Q40185
Q330584;Q40185
Q474962;Q40185
Q83041;Q40185
Q132786;Q40185
Q43939;Q40185
Q272006;Q40185
Q571969;Q40185
Q868;Q40185
Q4344;Q40185
Q36724;Q40185
Q41746;Q40185
Q154938;Q40185
Q44265;Q40185
Q188411;Q40185
Q345;Q40185
Q43746;Q40185
Q426862;Q40185
Q134646;Q40185
Q102851;Q40185
Q849647;Q40185
Q172248;Q40185
Q1398;Q40185
Q367387;Q40185
Q207370;Q40185
Q451516;Q40185
Q8778;Q40185
Q181360;Q40185
Q2755054;Q40185
Q366270;Q40185
Q159666;Q40185
Q152717;Q40185
Q41155;Q40185
Q86805;Q40185
Q5264;Q40185
Q6691;Q40185
Q6197;Q40185
Q76721;Q40185
Q549041;Q40185
Q317554;Q40185
Q41370;Q40185
Q1067;Q40185
Q431387;Q40185
Q41980;Q40185
Q905162;Q40185
Q59180;Q40185
Q208256;Q40185
Q310686;Q40185
Q332750;Q40185
Q297776;Q40185
Q448586;Q40185
Q8747;Q40185
Q48305;Q40185
Q244912;Q40185
Q164061;Q40185
Q39837;Q40185
Q8011;Q40185
Q1133523;Q40185
Q7734;Q40185
Q302;Q40185
Q172916;Q40185
Q43706;Q40185
Q40662;Q40185
Q199991;Q40185
Q166876;Q40185
Q81018;Q40185
Q111559;Q40185
Q192673;Q40185
Q316876;Q40185
Q211246;Q40185
Q205365;Q40185
Q754686;Q40185
Q725527;Q40185
Q833806;Q40185
Q359237;Q40185
Q83496;Q40185
Q635;Q40185
Q131463;Q40185
Q170335;Q40185
Q234533;Q40185
Q2254800;Q40185
Q779406;Q40185
Q647496;Q40185
Q188646;Q40185
Q223440;Q40185
Q185498;Q40185
Q8409;Q40185
Q1541;Q40185
Q23168;Q40185
Q129866;Q40185
Q771366;Q40185
Q9077;Q40185
Q9458;Q40185
Q466866;Q40185
Q170859;Q40185
Q7198;Q40185
Q47231;Q40185
Q311456;Q40185
Q174353;Q40185
Q167646;Q40185
Q379828;Q40185
Q258369;Q40185
Q785250;Q40185
Q315347;Q40185
Q33923;Q40185
Q172353;Q40185
Q859;Q40185
Q205251;Q40185
Q334817;Q40185
Q232913;Q40185
Q34943;Q40185
Q1135632;Q40185
Q160441;Q40185
Q203792;Q40185
Q207535;Q40185
Q8581;Q40185
Q103960;Q40185
Q2054;Q40185
Q355903;Q40185
Q663792;Q40185
Q913;Q40185
Q665165;Q40185
Q243203;Q40185
Q267733;Q40185
Q250506;Q40185
Q1425;Q40185
Q335367;Q40185
Q2521377;Q40185
Q1093574;Q40185
Q2721219;Q40185
Q706003;Q40185
Q36303;Q40185
Q1334087;Q40185
Q831583;Q40185
Q5254;Q40185
Q9438;Q40185
Q676555;Q40185
Q466048;Q40185
Q130221;Q40185
Q6612;Q40185
Q183417;Q40185
Q1048;Q40185
Q118081;Q40185
Q652232;Q40185
Q131651;Q40185
Q247137;Q40185
Q83375;Q40185
Q82732;Q40185
Q180262;Q40185
Q506550;Q40185
Q41866;Q40185
Q8347121;Q40185
Q176758;Q40185
Q461606;Q82442
Q3304898;Q2870
Q1649955;Q2870
Q2362299;Q2870
Q1046049;Q183565
Q21008378;Q183565
Q20666453;Q183565
Q21015520;Q183565
Q3874182;Q183565
Q1545219;Q82459
Q943141;Q157360
Q762731;Q157360
Q2481487;Q157360
Q2843299;Q157360
Q3319880;Q157360
Q2857830;Q157360
Q1627590;Q157360
Q1639626;Q157360
Q1640313;Q157360
Q582234;Q157360
Q2720366;Q157360
Q14906180;Q157360
Q2530488;Q157360
Q9142773;Q157360
Q9156058;Q157360
Q4441361;Q144547
Q1545219;Q82463
Q720235;Q183883
Q12056060;Q28306
Q3183235;Q28306
Q11703515;Q28306
Q6009607;Q28306
Q17355556;Q28306
Q24944284;Q28306
Q3665163;Q28306
Q1120793;Q28306
Q19796006;Q28306
Q3643599;Q28306
Q2076759;Q28306
Q4008842;Q28306
Q3796490;Q28306
Q2708078;Q28306
Q3810007;Q28306
Q22254472;Q28306
Q24285726;Q28306
Q5721186;Q28306
Q20190268;Q28306
Q19799430;Q28306
Q19799441;Q28306
Q5800500;Q28306
Q19799435;Q28306
Q3806180;Q28306
Q11680307;Q28306
Q19792294;Q28306
Q23758900;Q28306
Q1952877;Q191838
Q2820864;Q191838
Q3231432;Q191838
Q297285;Q191838
Q662916;Q191838
Q2670558;Q191838
Q5089330;Q191838
Q2367270;Q191838
Q2168244;Q191838
Q2721795;Q191838
Q2031116;Q191838
Q2513342;Q191838
Q2764500;Q191838
Q13816098;Q191838
Q2441401;Q191838
Q2312656;Q191838
Q5175544;Q191838
Q1989887;Q191838
Q1981073;Q191838
Q2422244;Q191838
Q2833551;Q191838
Q2418931;Q191838
Q1933207;Q191838
Q1930130;Q191838
Q3280528;Q191838
Q2694986;Q191838
Q1922534;Q191838
Q2542189;Q191838
Q2195046;Q191838
Q1920856;Q191838
Q3055960;Q191838
Q2161603;Q149552
Q3933075;Q28491
Q3838466;Q28491
Q3713591;Q28491
Q3687804;Q28491
Q3687891;Q28491
Q3713482;Q28491
Q3798988;Q28491
Q3749188;Q28491
Q3888810;Q28491
Q3860377;Q28491
Q3900059;Q28491
Q3606643;Q28491
Q3888787;Q28491
Q47471703;Q127149
Q5904834;Q127149
Q47482727;Q127149
Q47486170;Q127149
Q47486671;Q127149
Q47486723;Q127149
Q47488793;Q127149
Q47488848;Q127149
Q47488838;Q127149
Q47488866;Q127149
Q47488906;Q127149
Q47492656;Q127149
Q47492694;Q127149
Q35230;Q28754
Q70899;Q28754
Q186350;Q28754
Q1141210;Q28754
Q56951;Q28754
Q45581;Q28754
Q815594;Q28754
Q721135;Q28754
Q747233;Q28754
Q275010;Q28754
Q830183;Q28754
Q81989;Q28754
Q21933247;Q163297
Q27077109;Q163297
Q27077132;Q163297
Q27077162;Q163297
Q193531;Q29132
Q4452680;Q50948
Q4086728;Q185118
Q3277939;Q185118
Q4885761;Q185118
Q4118056;Q185118
Q1428628;Q185118
Q5036534;Q185118
Q7582307;Q185118
Q4075196;Q29424
Q4221831;Q29424
Q4221833;Q29424
Q11428966;Q208460
Q651130;Q208460
Q751417;Q208460
Q1284200;Q208460
Q645795;Q208460
Q382610;Q6507
Q830183;Q6507
Q70899;Q6507
Q954012;Q6507
Q572381;Q6507
Q302;Q6507
Q131691;Q6507
Q165479;Q6507
Q317436;Q6507
Q41166;Q6507
Q289957;Q6507
Q220822;Q6507
Q671872;Q6507
Q81422;Q6507
Q60702;Q185449
Q934089;Q165318
Q4428873;Q165318
Q16690119;Q165318
Q185737;Q74287
Q3244512;Q43361
Q174009;Q43361
Q173998;Q43361
Q176772;Q43361
Q712548;Q43361
Q179641;Q43361
Q192179;Q43361
Q177439;Q43361
Q11910388;Q43361
Q1963397;Q43361
Q5700415;Q43361
Q176132;Q43361
Q3278733;Q43361
Q713701;Q43361
Q774644;Q43361
Q1250951;Q43361
Q1072067;Q43361
Q845210;Q43361
Q4957115;Q43361
Q842178;Q43361
Q1250338;Q43361
Q4004524;Q43361
Q187923;Q43361
Q3255012;Q43361
Q13359612;Q43361
Q13359613;Q43361
Q3284911;Q43361
Q190366;Q43361
Q11293118;Q43361
Q3174865;Q43361
Q3430858;Q43361
Q7881262;Q43361
Q15242205;Q43361
Q3224418;Q43361
Q3735046;Q43361
Q3307136;Q43361
Q3592235;Q137869
Q223757;Q53945
Q191527;Q53945
Q2456444;Q53945
Q10518311;Q178791
Q1976939;Q208622
Q2604250;Q137969
Q613901;Q187655
Q193531;Q197243
Q1545219;Q74480
Q1545219;Q74483
Q2009573;Q26541
Q687726;Q26541
Q2053078;Q26541
Q246154;Q26541
Q2024961;Q26541
Q669992;Q32136
Q830561;Q129541
Q4149088;Q75840
Q573988;Q6511
Q2296791;Q6511
Q543671;Q6511
Q16910626;Q6511
Q7518595;Q6511
Q6860161;Q6511
Q4982905;Q6511
Q1927217;Q6511
Q366070;Q6511
Q18880357;Q6511
Q1416892;Q6511
Q1707785;Q6511
Q7326690;Q6511
Q5239704;Q6511
Q6239779;Q6511
Q28575591;Q6511
Q28601692;Q6511
Q28602262;Q6511
Q16739979;Q6511
Q28602472;Q6511
Q16910929;Q6511
Q16919411;Q6511
Q16739992;Q6511
Q11713659;Q129929
Q2091177;Q129929
Q2633642;Q129929
Q2715495;Q129929
Q2607099;Q129929
Q2281;Q79762
Q80453;Q79762
Q208363;Q79762
