location_id,book_id
Q1747689,Q927075
Q2009,Q476871
Q1211,Q641298
Q1297,Q260205
Q1187817,Q428680
Q501121,Q331656
Q21,Q331669
Q2886622,Q331669
Q7883710,Q331669
Q14834627,Q185118
Q1032551,Q185118
Q148,Q805878
Q60,Q589841
Q1748,Q331784
Q668,Q589868
Q90,Q968544
Q62,Q749783
Q99,Q749783
Q812,Q429806
Q84,Q477831
Q501121,Q477831
Q84,Q808113
Q23556,Q2870
Q85,Q690018
Q727,Q690362
Q90,Q690362
Q16565,Q590509
Q23346,Q863438
Q84,Q4784
Q796,Q642911
Q21,Q969970
Q1472498,Q188538
Q4318199,Q188538
Q962445,Q188538
Q4273334,Q188538
Q19915510,Q188538
Q1003997,Q188538
Q4404475,Q188538
Q128499,Q188538
Q592880,Q188538
Q99,Q4804
Q3402263,Q92640
Q84,Q864150
Q1747689,Q335315
Q27,Q6507
Q62,Q430514
Q1537,Q430514
Q99,Q692102
Q1761,Q6511
Q2062702,Q6511
Q1672830,Q6511
Q7417543,Q6511
Q1263215,Q6511
Q5500969,Q6511
Q5242183,Q6511
Q659895,Q6511
Q2088319,Q6511
Q135501,Q6511
Q1766409,Q6511
Q2350741,Q6511
Q13156901,Q6511
Q28601860,Q6511
Q668,Q189509
Q148,Q692350
Q21,Q189811
Q21,Q692557
Q23220,Q337944
Q84,Q866980
Q28513,Q645024
Q796,Q868512
Q84,Q752584
Q62,Q753081
Q84,Q113610
Q90,Q645906
Q812,Q538390
Q99,Q482244
Q2009,Q339852
Q84,Q972609
Q131491,Q972609
Q1384,Q694346
Q62,Q870551
Q23298,Q191663
Q23482,Q191838
Q622500,Q191838
Q90,Q191838
Q84,Q482424
Q84,Q191949
Q5092,Q754464
Q1747689,Q816528
Q626655,Q10202
Q1553,Q973883
Q220,Q116381
Q62,Q932721
Q100,Q647167
Q60,Q932786
Q1953975,Q699107
Q1384,Q699443
Q84,Q821671
Q843,Q597545
Q65,Q874492
Q84,Q598071
Q1761,Q759330
Q90,Q700288
Q597711,Q543116
Q23346,Q759467
Q90,Q272506
Q148,Q976946
Q84,Q23163
Q90,Q358642
Q99,Q934430
Q65,Q599495
Q90,Q360734
Q21,Q274744
Q1049672,Q440784
Q65,Q935061
Q90,Q199940
Q30,Q127149
Q18389,Q127149
Q84,Q825220
Q29,Q200920
Q1877267,Q704677
Q8646,Q275245
Q8646,Q543790
Q14773,Q543790
Q1490,Q543790
Q18094,Q543790
Q65,Q543790
Q23768,Q543790
Q1297,Q543790
Q60,Q543790
Q1055,Q543790
Q64,Q543790
Q1741,Q543790
Q71,Q543790
Q2634,Q543790
Q45240,Q543790
Q84,Q275292
Q30,Q202009
Q21,Q880092
Q145838,Q362314
Q84,Q650949
Q23220,Q936276
Q21,Q936276
Q90,Q276722
Q90,Q763184
Q60,Q978723
Q90,Q978723
Q90,Q26085
Q23220,Q936801
Q2868,Q763199
Q839058,Q763199
Q23298,Q651866
Q148,Q708490
Q90,Q366927
Q21,Q485093
Q2886622,Q485093
Q1418816,Q603747
Q84,Q368357
Q1384,Q604418
Q23220,Q368531
Q90,Q604922
Q84,Q716712
Q90,Q27462
Q60,Q369147
Q90,Q129541
Q99,Q981052
Q43,Q654562
Q399,Q654562
Q230,Q654562
Q7204,Q654562
Q889,Q654562
Q43100,Q654562
Q17252,Q654562
Q1315785,Q654562
Q29520,Q654562
Q711,Q654562
Q956,Q654562
Q43194,Q654562
Q42070,Q654562
Q90,Q654817
Q668,Q606184
Q668,Q717178
Q327,Q452075
Q365,Q655773
Q90,Q887062
