location_idbook_id
Q210877,Q79762
Q1297,Q165599
Q84,Q62879
Q84,Q80771
Q30,Q127149
Q18389,Q127149
Q90,Q140036
Q626655,Q10202
Q27044157,Q80817
Q3360786,Q80817
Q27924622,Q80817
Q471890,Q80817
Q2481438,Q80817
Q90,Q26085
Q84,Q31179
Q934381,Q178869
Q6671104,Q43361
Q27044157,Q43361
Q15299049,Q43361
Q834374,Q43361
Q1747689,Q135215
Q90,Q81689
Q220,Q116381
Q90,Q167906
Q889,Q179441
Q1248783,Q32136
Q163,Q44701
Q23066,Q44701
Q45301,Q73112
Q6514,Q73112
Q399,Q73112
Q166,Q73112
Q181306,Q180736
Q213344,Q180736
Q237367,Q180736
Q1326237,Q180736
Q2464538,Q157360
Q2469685,Q157360
Q20085723,Q157360
Q23556,Q2870
Q1054923,Q157709
Q192517,Q149552
Q7983245,Q73588
Q90,Q82442
Q90,Q27462
Q84,Q4784
Q392215,Q137869
Q84,Q38187
Q15299049,Q46751
Q3276444,Q46751
Q3402263,Q92640
Q84,Q23163
Q84,Q38190
Q902997,Q46758
Q27924622,Q46758
Q3288068,Q46758
Q3436359,Q46758
Q60,Q137969
Q99,Q4804
Q27924622,Q46887
Q79734,Q74287
Q148,Q151919
Q27,Q6507
Q668,Q47153
Q90,Q57745
Q21,Q138743
Q2009,Q152267
Q1761,Q6511
Q2062702,Q6511
Q1672830,Q6511
Q7417543,Q6511
Q1263215,Q6511
Q5500969,Q6511
Q5242183,Q6511
Q659895,Q6511
Q2088319,Q6511
Q135501,Q6511
Q1766409,Q6511
Q2350741,Q6511
Q13156901,Q6511
Q28601860,Q6511
Q27924622,Q47209
Q1321735,Q47209
Q2481438,Q47209
Q60,Q183565
Q668,Q183565
Q19967,Q183565
Q20,Q183565
Q3623561,Q28306
Q10944852,Q28306
Q21,Q40205
Q99,Q40205
Q60,Q152818
Q90,Q129541
Q84,Q47598
Q834374,Q47598
Q15299049,Q47598
Q1771915,Q47598
Q1210,Q28491
Q30,Q183883
Q90,Q176470
Q62,Q176470
Q34404,Q176470
Q84,Q113610
