language_id;book_id
Q5287;Q27451
Q7979;Q47209
Q1860;Q47209
Q7737;Q81413
Q7737;Q210784
Q1860;Q119246
Q1860;Q279582
Q1860;Q353231
Q1860;Q302237
Q294;Q140016
Q5146;Q240087
Q1860;Q190192
Q7976;Q190192
Q7976;Q259168
Q1654327;Q428
Q1860;Q330826
Q1860;Q302253
Q7737;Q169632
Q1860;Q211006
Q1860;Q27453
Q150;Q377466
Q7976;Q354058
Q188;Q240584
Q1321;Q259309
Q1860;Q169976
Q150;Q302255
Q1860;Q81689
Q397;Q442
Q188;Q279676
Q1860;Q330898
Q150;Q240617
Q1860;Q356107
Q150;Q27462
Q1860;Q140036
Q1860;Q377710
Q150;Q260016
Q150;Q447
Q1860;Q356761
Q1860;Q47598
Q1860;Q377817
Q1860;Q170583
Q1860;Q260205
Q1860;Q241348
Q150;Q27463
Q1860;Q357606
Q7976;Q357606
Q1860;Q302832
Q1860;Q378423
Q7979;Q191288
Q1860;Q191288
Q35497;Q241668
Q188;Q330929
Q1860;Q27466
Q1860;Q81783
Q188;Q48244
Q5146;Q140050
Q1860;Q280894
Q5364419;Q480
Q652;Q172850
Q5287;Q81810
Q1860;Q27544
Q188;Q358642
Q5364419;Q378485
Q1860;Q191540
Q1860;Q260702
Q1860;Q281466
Q1860;Q243556
Q150;Q140057
Q188;Q330979
Q7737;Q211927
Q188;Q358958
Q1860;Q119567
Q1860;Q260711
Q7737;Q82428
Q1860;Q330996
Q35497;Q244161
Q35497;Q172891
Q150;Q281474
Q188;Q378626
Q652;Q212143
Q150;Q360734
Q1860;Q302960
Q188;Q27592
Q150;Q119709
Q1860;Q721
Q1860;Q378786
Q397;Q212180
Q188;Q48716
Q36395;Q191663
Q1860;Q281502
Q1860;Q82438
Q1860;Q141568
Q13955;Q303017
Q7737;Q27775
Q1860;Q260760
Q397;Q119823
Q7737;Q212194
Q150;Q361995
Q150;Q191838
Q150;Q378791
Q1860;Q48829
Q397;Q174268
Q1860;Q143031
Q1860;Q244884
Q7411;Q281610
Q35497;Q331011
Q1860;Q28172
Q1860;Q303476
Q1860;Q378975
Q1860;Q212473
Q1860;Q191949
Q188;Q362196
Q5287;Q82440
Q150;Q174626
Q150;Q143707
Q1860;Q261728
Q150;Q119854
Q815549;Q119854
Q1480152;Q119854
Q1450506;Q119854
Q1860;Q244897
Q188;Q379015
Q7979;Q49063
Q1860;Q174654
Q150;Q82442
Q188;Q331029
Q1860;Q303526
Q1860;Q282223
Q1860;Q261979
Q7979;Q120288
Q188;Q362314
Q188;Q379108
Q9288;Q49069
Q7737;Q143931
Q1860;Q212718
Q150;Q175020
Q1982248;Q1845
Q28602;Q1845
Q107358;Q1845
Q1860;Q28306
Q1860;Q303882
Q1860;Q331092
Q1860;Q282284
Q1860;Q120595
Q7976;Q379286
Q7737;Q245194
Q1860;Q363806
Q188;Q192016
Q1860;Q144132
Q1860;Q212789
Q1860;Q175421
Q1860;Q262540
Q7976;Q2222
Q7737;Q282441
Q14549;Q123322
Q1860;Q123322
Q9027;Q379406
Q1860;Q363912
Q7737;Q144547
Q1860;Q192258
Q1860;Q213019
Q652;Q28491
Q1860;Q82459
Q1860;Q2870
Q397;Q282497
Q35497;Q123397
Q1860;Q380831
Q188;Q364565
Q1860;Q175549
Q1860;Q245265
Q7737;Q144569
Q1860;Q82463
Q1860;Q213300
Q1860;Q4672
Q1472196;Q28754
Q1860;Q331106
Q35497;Q264241
Q1860;Q282814
Q188;Q125628
Q188;Q365412
Q1860;Q193034
Q1860;Q381753
Q1860;Q245674
Q1860;Q214132
Q652;Q50857
Q33845;Q50857
Q1860;Q304493
Q1860;Q82464
Q1860;Q331111
Q150;Q264451
Q188;Q175570
Q1860;Q127149
Q9067;Q366726
Q1860;Q149552
Q1860;Q214371
Q1860;Q304535
Q7737;Q50948
Q1860;Q264519
Q1860;Q381756
Q1860;Q282989
Q1860;Q245686
Q1860;Q366927
Q1860;Q194424
Q1860;Q176192
Q150;Q82530
Q1860;Q331142
Q1860;Q283247
Q107358;Q381844
Q1860;Q29132
Q1860;Q149993
Q150;Q245738
Q1860;Q304549
Q188;Q53289
Q188;Q367732
Q1860;Q194619
Q7737;Q82630
Q1860;Q4791
Q7737;Q214539
Q1321;Q283273
Q188;Q382084
Q397;Q29270
Q1860;Q368357
Q1860;Q151337
Q1860;Q176470
Q1860;Q82870
Q1860;Q4795
Q1860;Q382862
Q1860;Q283445
Q150;Q127284
Q150;Q245847
Q1860;Q368432
Q1860;Q176734
Q1860;Q215983
Q1860;Q331228
Q1860;Q82888
Q1860;Q304934
Q1860;Q4804
Q7737;Q29424
Q1860;Q283716
Q652;Q383191
Q1860;Q151550
Q1860;Q245961
Q1860;Q368531
Q150;Q195944
Q1860;Q331651
Q1860;Q217352
Q1860;Q82915
Q1860;Q5825
Q150;Q264757
Q1860;Q383834
Q1860;Q246014
Q506588;Q177359
Q1860;Q53817
Q1860;Q368566
Q1860;Q196151
Q7979;Q331656
Q1860;Q6507
Q150;Q151578
Q1860;Q384033
Q1860;Q284395
Q1860;Q30925
Q1860;Q246409
Q150;Q177487
Q1860;Q265042
Q7979;Q331669
Q1860;Q53945
Q1860;Q218156
Q7850;Q151919
Q1860;Q305235
Q652;Q127860
Q1860;Q284632
Q5146;Q31137
Q7976;Q384076
Q1860;Q246436
Q1860;Q265100
Q9027;Q178688
Q9035;Q331784
Q1860;Q83014
Q1860;Q305415
Q1860;Q369147
Q150;Q152070
Q7737;Q284839
Q1860;Q6511
Q1860;Q384160
Q150;Q54548
Q1860;Q246446
Q1860;Q178788
Q1860;Q218578
Q1860;Q331797
Q1860;Q128242
Q150;Q83553
Q1860;Q31179
Q1860;Q305431
Q188;Q369324
Q1860;Q152267
Q150;Q285209
Q1860;Q384274
Q1860;Q178791
Q37041;Q247318
Q1860;Q331804
Q1860;Q218950
