author_id;award
Q373251;Prix Goncourt
Q373251;Grand Prix du roman de l'Académie française
Q312405;Prometheus Award
Q312405;Hugo Award for Best Novel
Q312405;Hugo Award for Best Novel
Q312405;Prometheus Award
Q312405;John W. Campbell Memorial Award for Best Science Fiction Novel
Q312405;Hugo Award for Best Novella
Q312405;Hugo Award for Best Novella
Q312405;Locus Award for Best Novella
Q312405;Kurd Lasswitz Award
Q312405;Cosmos 2000 Award
Q348916;James Tait Black Memorial Prize
Q348916;E. M. Forster Award
Q26993;Bavarian Maximilian Order for Science and Art
Q160263;Geschwister-Scholl-Preis
Q160263;Bialik Prize
Q160263;Peace Prize of the German Book Trade
Q160263;Prix Médicis for foreign literature
Q160263;grand prix de l'héroïne Madame Figaro du roman étranger
Q160263;Sapir Prize for Literature
Q160263;Nelly Sachs Prize
Q160263;Bernstein Prize
Q160263;Ze'ev Prize
Q160263;ACUM award
Q160263;Ischia International Journalism Award
Q160263;Man Booker International Prize
Q160263;Israel Prize
Q160263;Manès-Sperber-Preis
Q272;Order of the Francisque
Q272;Officer of the Legion of Honour
Q134942;Order of the Companions of Honour
Q78491;Order of the Southern Cross
Q47293;Commander's Cross of the Order of Merit of the Federal Republic of Germany
Q124589;Theodor Wolff award
Q1971168;Nestlé Children's Book Prize
Q279305;Officer of the Order of the British Empire
Q35064;Dame Commander of the Order of the British Empire
Q35064;Edgar Award
Q35064;Order of the British Empire
Q332689;Prix Renaudot
Q332689;Amerigo Vespucci Youth Award
Q332689;Inter Book Prize
Q4671;John Llewellyn Rhys Prize
Q18143;Nobel Prize in Literature
Q9353;Fellow of the Royal Society
Q44647;Bavarian Order of Merit
Q44647;Commander's Cross of the Order of Merit of the Federal Republic of Germany
Q44647;Zilveren Griffel
Q44647;Cross of the Order of Merit of the Federal Republic of Germany
Q44647;Officer's Cross of the Order of Merit of the Federal Republic of Germany
Q44647;Bavarian Maximilian Order for Science and Art
Q44647;Andreas Gryphius Prize
Q44647;Großer Preis der Deutschen Akademie für Kinder- und Jugendliteratur e.V. Volkach
Q44647;Bayerischer Poetentaler
Q44647;Wildweibchenpreis
Q470758;Costa Book Awards
Q470758;Lambda Literary Award
Q470758;Irish PEN Award
Q470758;E. M. Forster Award
Q470758;International IMPAC Dublin Literary Award
Q470758;Encore Award
Q314416;Bob Morane Prize
Q3335;Prometheus Award - Hall of Fame
Q3335;Prometheus Award
Q3335;Hugo Award for Best Novella
Q151523;Kossuth Prize
Q151523;Goethe Prize
Q44646;PEN/E. O. Wilson Literary Science Writing Award
Q44646;Alexander von Humboldt Fellow
Q44646;Robert B. Balles Prize in Critical Thinking
Q318099;Edgar Award
Q34253;Millennium Technology Prize
Q34253;Computer Pioneer Award
Q34253;Suuret suomalaiset
Q34253;Lovelace Medal
Q34253;honorary doctor of Stockholm University
Q34253;EFF Pioneer Award
Q34253;doctor honoris causa
Q34253;Computer History Museum fellow
Q34253;Internet Hall of Fame
Q470302;Guardian Children's Fiction Prize
Q470302;Michael L. Printz Award
Q470302;Carnegie Medal
Q470302;Astrid Lindgren Memorial Award
Q61627;Georg Büchner Prize
Q61627;Fontane-Preis
Q61627;Heinrich-Böll-Preis
Q61627;Prix Formentor
Q203906;Elliott Cresson Medal
Q203906;doctor honoris causa
Q216195;National Humanities Medal
Q216195;National Book Award
Q216195;Dos Passos Prize
Q216195;St. Louis Literary Award
Q216195;Jefferson Lecture
Q216195;Wilbur Cross Medal
Q1362988;Johann-Heinrich-Merck-Preis
Q3116258;Pulitzer Prize for Spot News Photography
Q553137;Zilveren Zoen
Q553137;Newbery Medal
Q553137;National Book Award for Young People's Literature
Q44336;Anton Wildgans Prize
