Q240576;children's literature
Q102513;novel
Q47484;novel
Q23434;prose
Q23434;opinion journalism
Q102513;tale
Q102513;short story
Q34474;powest
Q34474;short story
Q34474;opinion journalism
Q34474;essay
Q34474;novel
Q311145;style of Machado de Assis
Q42831;short story
Q42831;powest
Q42831;novel
Q42831;elegy
Q34474;lexicography
Q42831;drama
Q905;modernism
Q28170;speculative fiction
Q905;fiction
Q905;short story
Q228624;speculative fiction
Q905;novel
Q34660;fantasy
Q34660;tragicomedy
Q34660;crime novel
Q42;science fiction
Q905;flash fiction
Q42;comedy
Q42;satire
Q82104;detective fiction
Q295431;satire
Q295431;detective fiction
Q732338;novel
Q39829;horror literature
Q39829;fantasy
Q39829;science fiction
Q39829;drama
Q39829;epistolary genre
Q5682;poetry
Q5682;novel
Q181677;science fiction
Q39829;gothic fiction
Q5682;tragedy
Q39829;post-apocalyptic fiction
Q39829;thriller
Q39829;detective fiction
Q134798;novel
Q210059;fantasy
Q35064;crime novel
Q35064;detective fiction
Q35064;adventure novel
Q35064;autobiography
Q235291;biography
Q173540;romance novel
Q170509;gothic fiction
Q42511;science fiction
Q1512;adventure novel
Q1512;gothic fiction
Q46248;fantasy
Q105118;drama
Q909;poetry
Q909;short story
