language_id;book_id
Q5287;Q27451
Q506395;Q61324
Q294;Q140016
Q1654327;Q428
Q7979;Q47209
Q1860;Q47209
Q1860;Q181488
Q5146;Q154771
Q7850;Q36393
Q1860;Q190192
Q7976;Q190192
Q1860;Q119246
Q7737;Q81413
Q1860;Q11678
Q1860;Q130295
Q1860;Q92556
Q7737;Q169632
Q1860;Q202531
Q1860;Q27453
Q397;Q442
Q5146;Q154774
Q1860;Q81689
Q1860;Q38187
Q1860;Q169976
Q1860;Q62879
Q1860;Q130310
Q5146;Q154777
Q1860;Q140036
Q150;Q27462
Q150;Q447
Q1860;Q38190
Q1412;Q130924
Q33557;Q130924
Q1860;Q170583
Q5146;Q154781
Q1860;Q92630
Q1860;Q47598
Q1860;Q182502
Q7737;Q63707
Q5146;Q140050
Q5146;Q154783
Q188;Q48244
Q7979;Q191288
Q1860;Q191288
Q150;Q27463
Q1860;Q81783
Q5364419;Q480
Q5146;Q154795
Q1860;Q63998
Q9288;Q131068
Q652;Q172850
Q1860;Q27466
Q150;Q13231
Q1860;Q38213
Q5287;Q81810
Q150;Q140057
Q5146;Q154803
Q1860;Q191540
Q9027;Q182739
Q1860;Q27544
Q1860;Q13911
Q1860;Q38564
Q1860;Q64095
Q1860;Q141568
Q28602;Q205388
Q35497;Q172891
Q1568;Q155498
Q1860;Q92640
Q1860;Q721
Q1860;Q132042
Q7737;Q183157
Q1860;Q13912
Q7737;Q82428
Q1860;Q119567
Q150;Q38793
Q1860;Q143031
Q397;Q174268
Q1860;Q157360
Q188;Q27592
Q188;Q48716
Q35505;Q183362
Q1321;Q39961
Q1860;Q82438
Q35497;Q205612
Q35497;Q69539
Q150;Q174626
Q150;Q143707
Q1860;Q132062
Q1860;Q157709
Q150;Q119709
Q1860;Q18725
Q1860;Q48829
Q1860;Q183363
Q652;Q40185
Q36395;Q191663
Q7850;Q70784
Q7737;Q27775
Q1860;Q174654
Q1860;Q132269
Q397;Q205921
Q397;Q119823
Q37041;Q18990
Q150;Q93673
Q150;Q183565
Q5287;Q82440
Q1860;Q40205
Q150;Q191838
Q7850;Q70806
Q7737;Q143931
Q150;Q175020
Q1860;Q28172
Q1860;Q162091
Q1860;Q93773
Q1860;Q20124
Q1860;Q133740
Q7979;Q49063
Q150;Q82442
Q7850;Q70827
Q1860;Q191949
Q1860;Q144132
Q1982248;Q1845
Q28602;Q1845
