book_id;followed_book_id
Q2001010;Q2843782
Q3829064;Q3791167
Q8030573;Q7456957
Q2714775;Q2183795
Q16843305;Q16862826
Q22980516;Q23045297
Q3427602;Q3220799
Q2608698;Q4660554
Q2086761;Q2638897
Q2229094;Q21293865
Q1637394;Q514724
Q897105;Q373601
Q2712708;Q10371726
Q3818319;Q3882129
Q7422030;Q7301993
Q649015;Q1365004
Q7719431;Q7719432
Q536549;Q3210739
Q942810;Q607232
Q1092421;Q633329
Q7561593;Q4898541
Q884010;Q684818
Q151337;Q74362
Q1857847;Q2889776
Q21294949;Q20723620
Q5636343;Q15035002
Q3860994;Q3885894
Q3772053;Q7746944
Q127284;Q1212137
Q2700165;Q1904455
Q2380686;Q3208673
Q634152;Q2610567
Q768454;Q3647092
Q7601544;Q6917636
Q2889776;Q1848920
Q2196112;Q2433594
Q17064823;Q18163952
Q3792767;Q3605624
Q2364765;Q2713597
Q1814790;Q3353458
Q21293806;Q2347047
Q1171038;Q5247483
Q3754658;Q3714112
Q2193880;Q2294286
Q1195989;Q2016359
Q5366711;Q7730871
Q7750748;Q10854416
Q17025934;Q16245792
Q952738;Q16385292
Q3850497;Q3850501
Q2469763;Q2679235
Q3366164;Q3427960
Q1773137;Q3234684
Q3823329;Q3941809
Q1277076;Q3283718
Q7460726;Q10860728
Q2630156;Q2523042
Q5976032;Q6928980
Q4355537;Q2111289
Q2133248;Q3543729
Q470844;Q238652
Q21295085;Q21295087
Q3819798;Q3825092
Q768605;Q1098300
Q2232820;Q2282666
Q2279536;Q2863680
Q232055;Q1212348
Q928680;Q3514971
Q21295040;Q21295044
Q2258634;Q1872840
Q7144755;Q7378797
Q10339852;Q17027883
Q899334;Q1736859
Q2662175;Q2662191
Q140016;Q3208727
Q3061309;Q2469230
Q2746500;Q2915310
Q8024494;Q8024496
Q10657536;Q10659984
Q6489634;Q7601544
Q2095705;Q1304388
Q3231937;Q1060935
Q7597242;Q7797841
Q3224650;Q2717772
Q4462587;Q3980601
Q594139;Q1150003
Q16386797;Q7295206
Q7730387;Q7736678
Q7715640;Q7768452
Q565911;Q1331757
Q2689724;Q2737771
Q2181693;Q21294909
Q929899;Q1214433
Q3024051;Q3324572
Q7751615;Q5422835
Q1306869;Q319202
Q10683879;Q10406445
Q5465909;Q2692115
Q1170544;Q654055
Q1320318;Q1189364
Q1212773;Q137869
Q28918993;Q21079072
Q7736678;Q7771931
Q667903;Q1170544
Q2154863;Q2309391
Q3514971;Q3515895
Q21293869;Q21293872
Q458572;Q3511286
Q2779143;Q1898878
Q10675676;Q10500575
Q3234516;Q3235281
Q3824329;Q3795229
Q3232270;Q3422871
Q28733576;Q28733614
Q2750810;Q2716267
Q2525882;Q3180725
Q959582;Q1192245
Q1189364;Q7755766
Q2365022;Q2196112
Q3151488;Q3003181
Q2683379;Q4608390
Q855801;Q238652
Q595950;Q3753136
Q3511286;Q7562305
Q3210739;Q3227517
Q7713266;Q7715640
Q948372;Q2008211
Q218950;Q331656
Q5376798;Q3283408
Q2665494;Q2617711
Q14517743;Q1857847
Q1637738;Q1472204
Q8036762;Q8036760
Q2292215;Q2479243
Q1081119;Q2398251
Q3793043;Q3714029
Q1082111;Q3235695
Q1198883;Q644271
Q21295020;Q21295021
Q3885894;Q3796106
Q7719432;Q7719433
Q7247332;Q16842786
Q3825068;Q3772088
Q839800;Q853927
Q3877678;Q3933517
Q467139;Q339923
Q2076367;Q2187339
Q1637730;Q670552
Q2323020;Q1824440
Q3236485;Q7751615
Q339923;Q151337
Q3933517;Q3793464
Q4992965;Q5157498
Q10683880;Q10698889
Q3795648;Q3823329
Q21295061;Q21295063
Q53318363;Q53318720
Q19952366;Q13882543
Q471005;Q1192756
Q3543729;Q2653468
Q7742726;Q7763587
Q929184;Q291087
Q304549;Q478098
Q7763820;Q5306215
Q6015506;Q6827852
Q1192245;Q645024
Q10428753;Q10428765
Q3235328;Q3503998
Q3549611;Q3436601
Q2800632;Q3310874
Q557867;Q2195511
Q1213472;Q1212855
Q3714112;Q7776635
Q5003820;Q8564251
Q3753136;Q6029482
Q2122521;Q1890852
Q10670935;Q10683889
Q16385235;Q7772193
Q16256384;Q5247740
Q2499675;Q717326
Q4685224;Q4685227
Q3422871;Q3569843
Q189378;Q191540
Q17031290;Q16385242
Q1947513;Q2386159
Q813935;Q611399
Q2954362;Q2024347
Q841679;Q3819481
Q2274863;Q17985964
Q3791167;Q3952702
Q1082104;Q1082111
Q13812332;Q2114133
Q2489916;Q2443842
Q10428758;Q10428822
Q2426074;Q2735144
Q10470448;Q10657536
Q3791139;Q6684488
Q5162389;Q6679311
Q3207685;Q3208171
Q7758611;Q4658186
Q16385744;Q10339852
Q6417126;Q16155063
Q3226180;Q12900710
Q21295022;Q21295023
Q3234684;Q3202921
Q10860728;Q7764525
Q20723620;Q21295020
Q721;Q1042294
Q21295074;Q21295078
Q15094166;Q3772053
Q3795229;Q7282843
Q5162401;Q6982449
Q10428824;Q10428817
Q962265;Q338034
Q21295046;Q21295048
Q1951956;Q2556743
Q1991641;Q2077641
Q3126837;Q15883621
Q6058165;Q5190133
Q2024164;Q3299530
Q2258329;Q2109932
Q3557789;Q3557786
Q5157498;Q2101649
Q10510725;Q10634722
Q10428814;Q10428759
Q21294911;Q2683379
Q5236430;Q7768920
Q10428817;Q10428814
Q3453308;Q3201692
Q3766392;Q1633087
Q4660554;Q2915600
Q3205800;Q3221442
Q3647092;Q841679
Q46751;Q80817
Q2183823;Q2909582
Q2585479;Q2672731
Q3503998;Q3072853
Q14905791;Q3205800
Q2745075;Q2365022
Q744687;Q2267961
Q2490707;Q1977378
Q5035837;Q5910399
Q3411636;Q3342544
Q10428823;Q10428824
Q541419;Q1082104
Q16385359;Q17000936
Q431927;Q1764445
Q10428813;Q10428818
Q238652;Q855801
Q3569843;Q7764126
Q2857581;Q3324037
Q718289;Q60672
Q6535598;Q5019811
Q10500575;Q10683892
Q3517860;Q5454280
Q16655251;Q786555
Q21574038;Q25405766
Q3824140;Q3828703
Q7740961;Q16209228
