publisher_id;human_id
Q20926521;Q20926525
Q52295467;Q52295697
Q52295467;Q52295740
Q1327389;Q732185
Q17518122;Q731852
Q1065097;Q347691
Q867530;Q6251461
Q11080946;Q16395252
Q1508259;Q5544076
Q24204324;Q42398363
Q3560313;Q61108
Q21704522;Q12043220
Q95149;Q356267
Q912887;Q38370
Q21001293;Q3104412
Q3313834;Q3501936
Q2522363;Q574400
Q5980753;Q20536850
Q795454;Q6525671
Q13128814;Q5549841
Q1431868;Q61108
Q2823584;Q1633343
Q85355;Q85389
Q3156592;Q3089764
Q15730918;Q14705436
Q3093062;Q3101819
Q3093062;Q5540325
Q3093062;Q6222008
Q3087181;Q18576201
Q26459753;Q6280120
Q1232629;Q18732238
Q390074;Q5726547
Q5817833;Q23682094
Q7833710;Q973835
Q3579256;Q1052458
Q3392522;Q15729827
Q55740353;Q23024177
Q2923533;Q3501936
Q12040357;Q20715506
Q43964634;Q3144686
Q43964634;Q43965101
Q1046463;Q3107325
Q1305980;Q1264337
Q3042717;Q20748849
Q1251563;Q720355
Q1251563;Q7387860
Q2980071;Q3370503
Q1503157;Q265562
Q1503157;Q4352670
Q5049289;Q12054363
Q911673;Q7791916
Q911673;Q18672603
Q911673;Q18672605
Q911673;Q18672923
Q911673;Q18672606
Q911673;Q18672604
Q911673;Q18670884
Q911673;Q18527299
Q911673;Q8014683
Q634246;Q100748
Q5574338;Q6775562
Q5574338;Q551929
Q3296078;Q4724164
Q4764054;Q5543954
Q1372258;Q11071898
Q6128174;Q4794438
Q3339382;Q23006166
Q4008202;Q3629303
Q4008202;Q529858
Q4008202;Q638877
Q3928116;Q15637562
Q12351828;Q12344664
Q20003475;Q17308741
Q646071;Q96598
Q898067;Q313456
Q16684409;Q3579460
Q3641749;Q3893801
Q2635075;Q25397225
Q2190366;Q2831889
Q3304275;Q277594
Q44022641;Q4799030
Q29015963;Q15998861
Q2108217;Q5218014
Q2108217;Q4719518
Q2188;Q1812101
Q2696397;Q3435631
Q5322081;Q5344788
Q552959;Q6130342
Q552959;Q5076359
Q12565;Q12608
Q2806609;Q21091578
Q28869242;Q12017250
Q2996566;Q3195113
Q95145;Q95160
Q265577;Q4346185
Q349566;Q1368272
Q3836399;Q1612007
Q481576;Q95541
Q3666843;Q14981941
Q28840617;Q671725
Q3402596;Q2848160
Q3310248;Q16649652
Q3310248;Q18091437
Q3828387;Q3742167
Q3117417;Q3056957
Q3117417;Q8317774
Q19444280;Q5346448
Q273819;Q1241719
Q1336200;Q1263483
Q15730345;Q114292
Q24577740;Q106821
Q3579242;Q42407569
Q3052794;Q345538
Q3132837;Q1868795
Q3132837;Q5498279
Q40783371;Q3385724
Q1549024;Q7787847
Q3752406;Q2918876
Q3752406;Q36846192
Q17617848;Q4003450
Q898097;Q5534593
Q3661317;Q3107233
Q3719260;Q3615628
Q1564874;Q18625572
Q301609;Q96961
Q896783;Q97572
Q3149496;Q26702
Q1479654;Q5083524
Q3564797;Q6202412
Q845617;Q5082415
Q7800720;Q8019416
Q7668241;Q7789603
Q3542453;Q2959010
Q20057503;Q12059164
Q5536864;Q5536873
Q5654997;Q4722792
Q5654997;Q5294054
Q14624944;Q1350810
Q536795;Q4647497
Q2609948;Q7964216
Q2609948;Q5980830
Q2609948;Q4898710
Q1668479;Q18844143
Q3127696;Q356267
Q16934727;Q7287990
Q731126;Q318591
Q212405;Q556384
Q212405;Q556367
Q1543201;Q25550430
