author_id;award
Q732338;John Simon Guggenheim Memorial Foundation Fellowship
Q9711;Legion of Honour
Q732338;Scotiabank Giller Prize
Q1357338;John Simon Guggenheim Memorial Foundation Fellowship
Q732338;Commonwealth Writers' Prize
Q228624;Children's bookshop prize
Q584990;Fellow of the Royal Society
Q732338;Neustadt International Prize for Literature
Q726264;Dan David Prize
Q163118;Commander of the Legion of Honour
Q81685;Nobel Prize in Literature
Q163118;Prix Femina
Q170596;Knight of the Legion of Honour
Q311145;Order of the Rose
Q23434;Nobel Prize in Literature
Q102513;National Women's Hall of Fame
Q295431;Austrian State Prize for European Literature
Q81685;Grand Cross of the Legion of Honour
Q310379;John Simon Guggenheim Memorial Foundation Fellowship
Q163118;Erasmus Prize
Q1035;Wollaston Medal
Q170596;Croix de guerre 1914–1918
Q23434;Bronze Star Medal
Q102513;Connecticut Women's Hall of Fame
Q46248;Officer of the Order of the British Empire
Q163118;Prince Pierre Award
Q295431;Geoffrey Faber Memorial Prize
Q81685;Grand Prix du roman de l'Académie française
Q1035;Royal Medal
Q310379;Lambda Literary Award
Q1043;Order of the Polar Star - Knight 2nd Class
Q1043;Order of the Polar Star - Knight 2nd Class
Q170596;Companion of the Order of the Bath
Q23434;Pulitzer Prize for Fiction
Q102513;Ohio Women's Hall of Fame
Q46248;Margaret Edwards Award
Q295431;Prix Médicis essai
Q310379;National Book Award
Q163118;Grand prix de littérature de l'Académie française
Q1035;Copley Medal
Q1043;Order of the Polar Star
Q170596;Distinguished Service Order
Q23434;Florida Artists Hall of Fame
Q102513;Distinguished Americans series
Q46248;Bollinger Everyman Wodehouse Prize
Q310379;Academy Award for Best Writing, Adapted Screenplay
Q1035;Order of Merit for Arts and Science
Q1035;Fellow of the Royal Society
Q295431;Prix Femina étranger
Q720306;James Tait Black Memorial Prize
Q46248;Carnegie Medal
Q310379;National Book Award for Fiction
Q1035;Pour le Mérite
Q295431;Ordre des Arts et des Lettres
Q46248;Locus Award for Best Fantasy Novel
Q295431;E. M. Forster Award
Q295431;Shakespeare Prize
Q46248;Edward E. Smith Memorial Award
Q314771;Astrid Lindgren Memorial Award
Q46248;Knight Bachelor
Q249197;Edgar Award
Q295431;Man Booker Prize
Q314771;National Medal of Arts
Q170509;Order of Merit
Q249197;Gold Dagger
Q314771;Hans Christian Andersen Award for illustration
Q170509;National Book Award for Nonfiction
Q295431;Siegfried Lenz prize
Q210059;Grand Prix de l'Imaginaire
Q314771;Library of Congress Living Legend
Q4671;John Llewellyn Rhys Prize
Q295431;Europese Literatuurprijs
Q28170;Primetime Emmy Award
Q249197;Swedish Crime Writers' Academy
Q1392021;James Tait Black Memorial Prize
Q1392021;Geoffrey Faber Memorial Prize
Q1392021;E. M. Forster Award
Q210059;World Fantasy Award for Best Short Fiction
Q105118;Academy Award for Best Writing, Original Screenplay
