book_id;character_id
Q3602596;Q1771228
Q3754074;Q1469475
Q3829064;Q3840856
Q3213142;Q18670182
Q3213142;Q331485
Q3213142;Q2142823
Q3213142;Q329
Q3213142;Q3524240
Q54800568;Q16311
Q54800568;Q16341
Q54800568;Q16351
Q54800568;Q607489
Q54800568;Q606202
Q54800568;Q616755
Q54800568;Q385831
Q5306756;Q16311
Q5306756;Q16341
Q5306756;Q16351
Q5306756;Q607489
Q5306756;Q606202
Q5306756;Q616755
Q5306756;Q385831
Q5306756;Q2737692
Q3999748;Q371774
Q1262456;Q2009573
Q54807165;Q16276
Q54807165;Q752877
Q54807165;Q384569
Q54807165;Q826155
Q54807165;Q625731
Q54807165;Q2000355
Q54807165;Q55191
Q8027613;Q2656347
Q8027613;Q2526905
Q2181982;Q7794287
Q54807233;Q5976775
Q54807233;Q546404
Q54807233;Q794335
Q54807233;Q625731
Q54807233;Q18173397
Q54807233;Q384569
Q54807233;Q1078955
Q54807233;Q252900
Q54807233;Q16276
Q54807233;Q1101459
Q54807233;Q305387
Q54807233;Q1166091
Q54807233;Q2020365
Q54807233;Q607489
Q54807233;Q15857
Q54807233;Q627820
Q54807233;Q629953
Q54807233;Q2264987
Q54807233;Q2069947
Q54807233;Q1322354
Q54807233;Q9108122
Q54807233;Q55289358
Q54807233;Q2000355
Q54807233;Q752877
Q54807233;Q826155
Q2048624;Q10615648
Q54807274;Q13218515
Q54807274;Q2737692
Q54807274;Q5877874
Q54807274;Q606202
Q54807274;Q16311
Q54807274;Q16351
Q54807274;Q607489
Q54807274;Q616755
Q54807274;Q385831
Q54807274;Q16341
Q3794654;Q7885319
Q3427602;Q3119417
Q3427602;Q18510587
Q3427602;Q18516276
Q3427602;Q18516397
Q3427602;Q18516401
Q3427602;Q18516407
Q3427602;Q18516409
Q1990751;Q615565
Q2608698;Q2846779
Q1885267;Q830561
Q2712800;Q1640004
Q17354458;Q1780654
Q54800788;Q16311
Q54800788;Q16341
Q54800788;Q16351
Q54800788;Q607489
Q54800788;Q616755
Q54800788;Q606202
Q54800788;Q385831
Q54800788;Q2737692
Q54800788;Q16276
Q54800788;Q752877
Q54800788;Q384569
Q54800788;Q826155
Q54800788;Q794335
Q54800788;Q625731
Q54800788;Q629953
Q54800788;Q55316721
Q54800827;Q16311
Q54800827;Q16341
Q54800827;Q16351
Q54800827;Q607489
Q54800827;Q606202
Q54800827;Q616755
Q54800827;Q385831
Q437353;Q2839066
Q1061932;Q152513
Q1637394;Q786846
Q20012582;Q37420445
Q20012582;Q37456904
Q1932742;Q3303236
Q1932742;Q3143575
Q54800874;Q546404
Q54800874;Q2195486
Q54800874;Q774719
Q54800874;Q3160645
Q54800874;Q2020365
Q54800874;Q2473641
Q54800874;Q1882443
Q54800874;Q1960052
Q54800874;Q3342685
Q1195411;Q786846
Q2891488;Q2695156
Q3818319;Q3840856
Q4584917;Q19117480
Q3225910;Q3197426
Q54806996;Q16311
Q54806996;Q16341
Q54806996;Q16351
Q54806996;Q607489
Q54806996;Q606202
Q54806996;Q616755
Q54806996;Q385831
Q54806996;Q55402307
Q1130299;Q170534
Q224078;Q170534
Q54807249;Q16311
Q54807249;Q16341
Q54807249;Q16351
Q54807249;Q607489
Q54807249;Q606202
Q54807249;Q616755
Q54807249;Q385831
Q17066134;Q5454702
Q3227965;Q830561
Q2078525;Q267447
Q54807371;Q305387
Q54807371;Q766141
Q54807371;Q855969
Q54807371;Q1107814
Q54807371;Q1322354
Q54807371;Q1216129
Q54807371;Q34359
Q54807371;Q9108122
Q54807371;Q252900
Q1643561;Q1780654
Q214371;Q3307719
Q214371;Q7048121
Q214371;Q18710691
Q214371;Q18710697
Q214371;Q18710699
Q248745;Q1918366
Q248745;Q5398255
Q7762064;Q388271
Q61324;Q3963944
Q7762058;Q388271
Q302832;Q1340530
Q10544351;Q10544349
Q9019562;Q6117737
Q5756262;Q1632277
Q7439856;Q1632277
Q7769557;Q945808
Q7769557;Q5455556
Q7769557;Q7844700
Q7315597;Q546404
Q7315597;Q794335
Q7315597;Q625731
Q7315597;Q22954
Q7315597;Q384569
Q7315597;Q774719
Q7315597;Q16276
Q7315597;Q305387
Q7315597;Q7050346
Q7315597;Q752877
Q7315597;Q826155
Q7315597;Q23000
Q7315597;Q14905899
Q1366540;Q830561
Q3278134;Q830561
Q10202;Q26492768
Q739269;Q830561
Q5299565;Q16311
Q5299565;Q16341
Q5299565;Q16351
Q5299565;Q607489
Q5299565;Q606202
Q5299565;Q616755
Q5299565;Q385831
Q54800538;Q16276
Q54800538;Q752877
Q54800538;Q384569
Q54800538;Q826155
Q54800538;Q794335
Q54800538;Q625731
Q4051564;Q1143987
Q12590993;Q485023
Q12590993;Q470122
Q12590993;Q334308
Q12590993;Q486298
Q12590993;Q483026
Q17176284;Q1780654
Q3204007;Q3092446
Q2380686;Q3119417
Q2380686;Q18510587
Q2380686;Q18516276
Q2380686;Q18516397
Q2380686;Q18516401
Q2380686;Q18516407
Q2380686;Q18516409
Q2380686;Q18524116
Q3024077;Q2896165
Q2425586;Q994344
Q845889;Q170534
Q3202966;Q3160179
Q492207;Q3182964
Q3515901;Q170241
Q54807004;Q16276
Q54807004;Q752877
Q54807004;Q384569
Q54807004;Q826155
Q54807004;Q794335
Q54807004;Q625731
Q54807004;Q2000355
Q3208165;Q461606
Q16385373;Q28737477
Q568210;Q193531
Q3201585;Q461606
Q7714659;Q16311
Q7714659;Q16341
Q7714659;Q16351
Q7714659;Q385831
Q7714659;Q606202
Q7714659;Q616755
Q7714659;Q607489
Q7714659;Q752877
Q7714659;Q13218515
Q7714659;Q612625
Q7714659;Q1974328
Q7714659;Q23753866
Q7714659;Q22992
Q255711;Q764346
Q255711;Q2556142
Q255711;Q1765951
Q211183;Q15956614
Q211183;Q15956634
Q211183;Q15958700
Q3210396;Q648269
Q4540279;Q6414261
Q2730411;Q2991021
Q822290;Q17745142
Q822290;Q20671468
Q936532;Q613901
Q16677634;Q3141938
Q3795180;Q2607112
Q54807242;Q794335
Q54807242;Q16311
Q54807242;Q16276
Q54807242;Q16351
Q54807242;Q16341
Q54807242;Q752877
Q54807242;Q826155
Q3202959;Q3382981
Q2420701;Q771213
Q2420701;Q5560816
Q8170842;Q6414261
Q1373644;Q3092452
Q693559;Q193531
Q3614731;Q15897
Q54800774;Q16311
Q54800774;Q16341
Q54800774;Q607489
Q54800774;Q606202
Q54800774;Q385831
Q54800774;Q616755
Q54800774;Q55316721
Q54800774;Q2737692
Q4015745;Q1068314
Q500688;Q187349
Q500688;Q4653
Q500688;Q2731317
Q2429686;Q764346
Q2397177;Q2624424
Q54802882;Q16311
Q183157;Q2027772
Q183157;Q5511259
Q183157;Q17301560
Q183157;Q4195615
Q183157;Q4424324
Q183157;Q24939119
Q183157;Q18397642
Q183157;Q24935037
Q183157;Q25390788
Q183157;Q24939091
Q183157;Q27478344
Q183157;Q27583975
Q3235378;Q3026260
Q20012583;Q37420445
Q20012583;Q37456904
Q19952380;Q1780654
Q54802749;Q16311
Q54802749;Q16341
Q54802749;Q16351
Q54802749;Q607489
Q54802749;Q606202
Q54802749;Q616755
Q54802749;Q2707157
Q54802749;Q2737692
Q54802749;Q13218515
Q54802749;Q612625
Q3278124;Q830561
Q7919602;Q16276
Q7919602;Q752877
Q7919602;Q384569
Q7919602;Q826155
Q7919602;Q794335
Q7919602;Q625731
Q7919602;Q1078955
Q7919602;Q2020365
Q7919602;Q55191
Q5250158;Q16311
Q5250158;Q16341
Q5250158;Q16351
Q5250158;Q607489
Q5250158;Q606202
Q5250158;Q616755
Q5250158;Q385831
Q129929;Q11713659
Q129929;Q2091177
Q129929;Q2633642
Q129929;Q2715495
Q129929;Q2607099
Q7943448;Q16311
Q7943448;Q16341
Q7943448;Q16351
Q7943448;Q607489
Q7943448;Q606202
Q7943448;Q616755
Q7943448;Q385831
Q3015510;Q1684606
Q188538;Q3658912
Q188538;Q3658916
Q188538;Q2006977
Q188538;Q1999647
Q188538;Q4759868
Q188538;Q4058093
Q188538;Q4135029
Q188538;Q1999658
Q188538;Q1977826
Q188538;Q4078454
Q188538;Q17131
Q188538;Q43600
Q188538;Q211246
Q188538;Q81018
Q188538;Q20581088
Q3201934;Q830561
Q54807265;Q16311
Q54807265;Q16341
Q54807265;Q16351
Q54807265;Q607489
Q54807265;Q606202
Q54807265;Q616755
Q54807265;Q385831
Q54807265;Q612625
Q858705;Q3735317
Q54802875;Q546404
Q54802875;Q22954
Q54802875;Q22971
