book_id;city_id
Q1247666;Q84
Q7728933;Q84
Q1992396;Q84
Q5891884;Q84
Q5685281;Q84
Q23163;Q84
Q15052556;Q84
Q2891488;Q732858
Q7810950;Q84
Q5278688;Q84
Q1519372;Q2868
Q5245384;Q84
Q7775036;Q84
Q1213293;Q2807
Q21191110;Q2807
Q6006812;Q84
Q23301393;Q956
Q9019562;Q2807
Q4315352;Q84
Q4353928;Q84
Q21129728;Q21176
Q2452826;Q727
Q21402675;Q3413939
Q3233990;Q84
Q23653995;Q16869
Q6503634;Q42448
Q16258615;Q84
Q7721032;Q84
Q16385373;Q1563
Q4410342;Q84
Q4783322;Q84
Q323146;Q84
Q3210396;Q350
Q4540279;Q7419957
Q4597073;Q84
Q21605551;Q3223979
Q5575751;Q220
Q8170842;Q7419957
Q7060158;Q84
Q4656085;Q84
Q4657913;Q220
Q18162235;Q84
Q1317740;Q84
Q7771659;Q84
Q5911219;Q84
Q7731932;Q10686
Q7230171;Q84
Q7720897;Q84
Q4928036;Q84
Q7848184;Q84
Q188538;Q128499
Q11897591;Q84
Q858705;Q84
Q825220;Q84
Q21875877;Q1008152
Q18627471;Q2807
Q21875877;Q25410
Q4770401;Q1425428
Q1093537;Q1425428
Q4659842;Q84
Q18418797;Q2807
Q7729758;Q84
Q7729904;Q84
Q3795866;Q84
Q3795782;Q84
Q382084;Q220
Q3720304;Q1218
Q3720304;Q16869
Q7750100;Q350
Q5324776;Q84
Q7740293;Q84
Q7745014;Q84
Q2901129;Q220
Q1217656;Q84
Q7766849;Q84
Q4540292;Q7419957
Q62879;Q84
Q7993989;Q84
Q1966835;Q649
Q219552;Q84
Q732360;Q84
Q7457821;Q23154
Q21153915;Q502693
Q3888884;Q495
Q7045999;Q84
Q7715640;Q42462
Q7798424;Q84
Q3828527;Q84
Q20036800;Q84
Q10683879;Q19753420
Q4762241;Q84
Q22911704;Q16869
Q7739591;Q84
Q14981274;Q8646
Q4540306;Q7419957
Q7977263;Q84
Q7148288;Q24826
Q5142457;Q84
Q7740567;Q84
Q4747643;Q84
Q4973296;Q84
Q10675676;Q19753420
Q15052552;Q84
Q22827524;Q42053
Q6938902;Q84
Q6906090;Q84
Q7733598;Q10686
Q4774579;Q84
Q4928072;Q84
Q4632083;Q84
Q7734986;Q84
Q5624139;Q84
Q7439855;Q24826
Q18419409;Q2807
Q920793;Q732858
Q4655878;Q84
Q5750462;Q1490
Q16848625;Q24826
Q7646079;Q84
Q7767912;Q84
Q7763668;Q84
Q9346175;Q84
Q5608665;Q84
Q7733293;Q84
Q1352419;Q1306534
Q15052558;Q84
Q178869;Q934381
Q6412050;Q84
Q45723446;Q14314
Q6670198;Q84
Q5434072;Q84
Q7740267;Q84
Q7713979;Q84
Q7715236;Q84
Q7379453;Q84
Q7751701;Q84
Q7763420;Q84
Q7763420;Q1741
Q5480936;Q16869
Q7758153;Q84
Q18162677;Q84
Q10683880;Q19753420
Q15052539;Q84
Q21658412;Q28042
Q3554584;Q1218
Q28801971;Q23436
Q7234106;Q727
Q4659106;Q84
Q10428753;Q10727531
Q7663682;Q84
Q3863265;Q84
Q7747934;Q84
Q10670935;Q19753420
Q5223788;Q84
Q5976045;Q727
Q676477;Q84
Q16995588;Q42462
Q4540308;Q7419957
Q7747909;Q84
Q6945006;Q39121
Q5135271;Q84
Q4658420;Q84
Q113610;Q84
Q6985697;Q84
Q1219096;Q627852
Q6669769;Q84
Q655773;Q365
Q7783705;Q84
Q5966331;Q2807
Q7718255;Q84
Q10428758;Q10727531
Q5559536;Q84
Q7719318;Q84
Q2052103;Q84
Q4003583;Q24826
Q2918754;Q2807
Q2918754;Q10305
Q23690297;Q85
Q5246918;Q42448
Q23690297;Q626031
Q23690297;Q239107
Q23690297;Q959859
Q7768834;Q220
Q23690297;Q29888
Q7760737;Q84
Q38190;Q84
Q7776249;Q84
Q5857786;Q2807
Q861017;Q220
Q19622413;Q490
Q10428824;Q10727531
Q3156703;Q84
Q4656043;Q350
Q5284681;Q10686
Q7712198;Q84
Q5689602;Q84
Q18059065;Q34370
Q5375357;Q24826
Q4951671;Q84
Q5241494;Q350
Q7748128;Q84
Q7755569;Q84
Q7741422;Q84
Q1195793;Q84
Q7775279;Q134672
Q16323394;Q1246235
Q7232185;Q84
Q2024164;Q406
Q7973169;Q10686
Q44492131;Q1348
Q5158290;Q84
Q587945;Q64
Q7093569;Q84
Q7992821;Q84
Q4926573;Q84
Q5287384;Q84
Q3706022;Q84
Q7085053;Q84
Q10510725;Q19753420
Q4659257;Q220
Q6669862;Q84
Q10428814;Q10727531
Q3566664;Q220
Q5504712;Q727
Q21106322;Q2239
Q223131;Q84
Q8057892;Q24826
Q10428817;Q10727531
Q1966790;Q649
Q1966790;Q1490
Q7741388;Q8717
Q5245078;Q84
Q7772490;Q84
Q4959485;Q84
Q18679181;Q1757
Q7749036;Q84
Q7621603;Q350
Q8037412;Q10686
Q7766153;Q84
Q4659983;Q84
Q46751;Q3276444
Q3629098;Q84
Q4540305;Q7419957
Q5967402;Q84
Q654562;Q956
Q658375;Q727
Q5800607;Q162615
Q5800607;Q2807
Q5800607;Q15098
Q10428823;Q10727531
Q7713648;Q727
Q2142181;Q7419957
Q10428813;Q10727531
Q768150;Q220
Q7722034;Q84
Q5968310;Q1335
Q7713947;Q84
Q7228775;Q84
Q10500575;Q19753420
Q7094259;Q23154
Q4896671;Q39121
Q208825;Q84
Q4655383;Q84
Q7172381;Q220
Q7718595;Q8717
Q18613756;Q2807
Q6435066;Q8646
Q5304698;Q220
Q7765016;Q84
Q19873569;Q84
Q460519;Q84
Q1195668;Q1741
Q10428756;Q10727531
Q19572638;Q84
Q47139919;Q64
Q7231687;Q350
Q4749995;Q84
Q5432666;Q84
Q4926551;Q84
Q3962486;Q1425428
Q7782676;Q84
Q847642;Q84
Q8059138;Q84
Q7766843;Q1486
Q2539248;Q8646
Q3560151;Q172
Q4540299;Q7419957
Q7765340;Q84
Q7142911;Q84
Q19573516;Q84
Q7045063;Q84
Q7758225;Q84
Q1700742;Q1218
Q7302115;Q84
Q7642726;Q220
Q7738590;Q24826
Q7993344;Q10686
Q5705328;Q84
Q5469862;Q84
Q41594276;Q5838
Q6037986;Q2807
Q4750041;Q84
Q15052560;Q84
Q7720033;Q84
Q4657555;Q84
Q10634722;Q19753420
Q3793854;Q84
Q7764687;Q172
Q15052526;Q84
Q2264850;Q84
Q4996813;Q8646
Q18162049;Q84
Q5608829;Q84
Q3793123;Q84
Q5477757;Q8646
Q4003598;Q84
Q6946122;Q84
Q543790;Q8646
Q543790;Q1490
Q543790;Q64
Q543790;Q1741
Q17021815;Q84
Q543790;Q2634
Q22697488;Q3561
Q22697488;Q45942
Q22697488;Q3579
Q22697488;Q16869
Q275292;Q84
Q368357;Q84
Q4880897;Q42462
Q4540288;Q7419957
Q6907535;Q84
Q5048303;Q350
Q7770706;Q84
Q17985487;Q84
Q16851233;Q84
Q2521688;Q220
Q17118786;Q23154
Q455305;Q2028
Q455305;Q6537
Q4655860;Q84
Q455305;Q617
Q455305;Q13362
Q6303457;Q10686
Q455305;Q1891
Q455305;Q2044
Q455305;Q3437
Q16839792;Q84
Q455305;Q220
Q455305;Q2634
Q455305;Q2656
Q1610831;Q84
Q331106;Q24826
Q1241741;Q350
Q5418467;Q727
Q582509;Q84
Q18419437;Q2807
Q18419437;Q18417553
Q4698281;Q350
Q27990957;Q270
Q19896235;Q84
Q1723053;Q84
Q6942419;Q8646
Q463698;Q223966
Q463698;Q3347407
Q463698;Q193289
Q191949;Q84
Q8029796;Q84
Q5287908;Q84
Q894151;Q84
Q5378081;Q350
Q5795905;Q2807
Q7203384;Q3130
Q386431;Q2079
Q5098501;Q84
Q386431;Q1726
Q386431;Q27016933
Q386431;Q27016942
Q7757886;Q84
Q7270728;Q84
Q1248108;Q8646
Q1750300;Q84
Q3234223;Q84
Q4896672;Q39121
Q7738173;Q84
Q7661878;Q84
Q21664056;Q204957
Q7726840;Q84
Q10684061;Q19753420
Q6938896;Q84
Q5320161;Q1757
Q2474921;Q649
Q26710837;Q3141
Q208460;Q84
Q18416088;Q2807
Q7420985;Q84
Q2659853;Q350
Q7429901;Q84
Q7714972;Q84
Q477831;Q84
Q4540321;Q7419957
Q27899367;Q1754
Q7796881;Q220
Q748075;Q84
Q8058414;Q84
Q7772514;Q84
Q7767674;Q84
Q6671238;Q84
Q10406445;Q19753420
Q80771;Q84
Q10683890;Q19753420
Q7766317;Q84
Q2357729;Q39121
Q6863586;Q84
Q21705511;Q2048321
Q16387133;Q24826
Q3857990;Q84
