book_id;country_id
Q3213142;Q142
Q7737811;Q668
Q743180;Q30
Q2648753;Q148
Q7744561;Q27
Q23301393;Q17
Q23301393;Q408
Q23301393;Q664
Q23653995;Q43
Q6878389;Q794
Q4479721;Q183
Q4920400;Q55
Q14639595;Q881
Q2543893;Q20
Q47011588;Q114
Q4674107;Q843
Q3790431;Q691
Q20036800;Q1044
Q8504697;Q424
Q22911704;Q858
Q22911704;Q79
Q5422136;Q889
Q7908807;Q33
Q7734880;Q796
Q3235528;Q1025
Q3235528;Q1011
Q5480936;Q41
Q22677282;Q38
Q18644205;Q29
Q10683889;Q34
Q841679;Q1027
Q27960883;Q36
Q47002728;Q414
Q18206510;Q977
Q7124158;Q1037
Q23311290;Q1019
Q23312400;Q35
Q3563367;Q40
Q3563367;Q822
Q2527126;Q736
Q654562;Q399
Q654562;Q230
Q654562;Q711
Q10428823;Q766
Q23788823;Q298
Q23946080;Q836
Q4003795;Q712
Q17152737;Q219060
Q7766066;Q227
Q19239794;Q159
Q22671022;Q26988
Q22671022;Q683
Q22671022;Q678
Q4733682;Q96
Q22679671;Q805
Q22679671;Q1045
Q22679671;Q854
Q22679831;Q155
Q22679831;Q1028
Q22679831;Q1016
Q22679831;Q45
Q22679831;Q1029
Q5305359;Q869
Q1886719;Q219
Q1886719;Q218
Q11714174;Q189
Q24089415;Q262
Q24089415;Q948
Q4724410;Q1041
Q4724410;Q1005
Q22810428;Q819
Q3205713;Q241
Q23308901;Q258
Q23308901;Q833
Q23308901;Q419
Q19213561;Q739
Q13882543;Q967
Q24246307;Q1049
Q22248660;Q39
Q3563322;Q252
Q29018923;Q912
Q22810454;Q16
Q8212205;Q874
Q8212205;Q265
