book_id;edition_id
Q28754;Q19022854
Q28754;Q21957396
Q2222;Q41526857
Q18990;Q12626119
Q18990;Q5943662
Q18990;Q16184679
Q24323;Q16029876
Q2870;Q15987824
Q480;Q49611178
Q480;Q49612156
Q40185;Q21190964
Q40185;Q21190966
Q40185;Q21190973
Q40185;Q21190993
Q40185;Q21190996
Q40185;Q21191003
Q40185;Q19183108
Q40185;Q19178937
Q40185;Q19183110
Q40185;Q21191013
Q40185;Q21191022
Q40185;Q19126932
Q40185;Q19128930
Q40185;Q21191058
Q40185;Q21191064
Q40185;Q21191066
Q40185;Q21191070
Q40185;Q21191014
Q40185;Q47011189
Q6911;Q14624815
Q6911;Q14624843
Q6911;Q14624856
Q6911;Q14624872
Q6911;Q14624877
Q6911;Q14624888
Q6911;Q14624941
Q6911;Q20901632
Q6911;Q2305113
Q6911;Q29562896
Q10202;Q23296098
Q10202;Q23296487
Q10202;Q23296854
Q20124;Q20968204
Q20124;Q21948575
Q20124;Q24073728
Q20124;Q40578896
Q20124;Q21161673
Q20124;Q21161675
Q20124;Q54638616
Q20124;Q51515175
Q20124;Q51515135
Q20124;Q51515170
Q20124;Q51430324
Q20124;Q51515195
Q20124;Q51515141
Q20124;Q51515157
Q20124;Q51430272
Q20124;Q51515145
Q20124;Q51515159
Q20124;Q51515152
Q20124;Q51515163
Q20124;Q51515169
Q20124;Q51515167
Q20124;Q51515164
Q20124;Q51515143
Q20124;Q51382402
Q20124;Q51515156
Q20124;Q51515162
Q20124;Q51515146
Q20124;Q51515137
Q29399;Q15735119
Q8251;Q43796635
Q8279;Q5959450
Q8279;Q5797140
Q8279;Q22704019
Q8279;Q5943957
Q8279;Q5941687
Q8279;Q3114572
Q8279;Q53676578
Q8279;Q53951723
Q25555;Q15151346
Q428;Q7744922
Q428;Q1219621
Q428;Q6455517
Q428;Q3237327
Q428;Q7751139
Q428;Q7045768
Q428;Q6015255
Q428;Q16384839
Q27463;Q39829696
Q27775;Q40579550
Q447;Q24230258
Q1845;Q1555509
Q1845;Q5083751
Q1845;Q10511148
Q1845;Q10602364
Q1845;Q10519521
Q1845;Q10397145
Q1845;Q1626958
Q1845;Q7083917
Q1845;Q2462802
Q1845;Q18918473
Q1845;Q131175
Q1845;Q1138103
Q1845;Q1502139
Q1845;Q866134
Q1845;Q623398
Q1845;Q1240869
Q1845;Q4264194
Q1845;Q8035681
Q1845;Q20157264
Q1845;Q20160290
Q1845;Q20165852
Q1845;Q19525492
Q1845;Q19523670
Q1845;Q19523683
Q1845;Q1786390
Q1845;Q11145376
Q1845;Q20201728
Q1845;Q20201776
Q1845;Q20203353
Q1845;Q1571095
Q1845;Q29334
Q1845;Q20278655
Q1845;Q9170726
Q1845;Q9170725
Q1845;Q9170712
Q1845;Q9170728
Q1845;Q3943129
Q1845;Q570121
Q1845;Q9170718
Q1845;Q11687962
Q1845;Q5363012
Q1845;Q3492456
Q1845;Q603882
Q1845;Q170093
Q1845;Q338373
Q1845;Q476495
Q1845;Q1756168
Q1845;Q6888651
Q1845;Q15892006
Q1845;Q6457532
Q1845;Q11910252
Q1845;Q11145141
Q1845;Q20203353
Q11191;Q19102705
Q11191;Q19037581
Q442;Q47882807
Q442;Q47883393
Q442;Q47883812
Q442;Q47884744
Q28491;Q17619093
Q11336;Q17645484
Q11336;Q17681239
Q8265;Q18744387
Q8265;Q18885234
Q8265;Q47452380
Q6511;Q15996608
Q6511;Q19020726
Q6511;Q28599480
Q6511;Q28599496
Q6511;Q28599520
Q6511;Q28599521
Q6511;Q28599523
Q6511;Q28599525
Q6511;Q28599531
Q30925;Q19075587
Q29270;Q4547210
Q29270;Q9080992
Q29270;Q4548960
