book_id;foreauthor_id
Q28222578;Q2042411
Q29995058;Q2299790
Q40099408;Q3816
Q31955356;Q237420
Q20064072;Q2397157
Q29727245;Q335153
Q21284079;Q558865
Q26944517;Q26944635
Q26157409;Q93024
Q54986521;Q862352
Q54986521;Q2604225
Q54989541;Q96144
Q28528117;Q2976835
Q471726;Q410
Q53105589;Q1799678
Q47004653;Q69045
Q47004653;Q47010701
Q47004653;Q1374367
Q47004653;Q47012040
Q47004653;Q47010712
Q22117378;Q986933
Q18400230;Q2516
Q37308145;Q6770060
Q50577191;Q310158
Q50816685;Q3380598
Q25796537;Q45909
Q19961406;Q25191
Q2887280;Q441161
Q30015069;Q274429
Q47632985;Q47519747
Q3709947;Q2267257
Q3709947;Q29584749
Q24146927;Q20155175
Q16886812;Q1372228
Q24237608;Q18573281
Q24237608;Q24237629
Q50358564;Q10858197
Q42955191;Q239105
Q845981;Q435547
Q41800171;Q6183232
Q24087826;Q22112757
Q24087826;Q22102827
Q24087826;Q46057080
Q24087826;Q15902504
Q29168553;Q54527
Q52775753;Q45826592
Q208460;Q35155
Q53105513;Q1799678
Q52209129;Q40143
Q642646;Q651763
Q51932847;Q218503
Q51932847;Q7330258
Q49138721;Q12403315
Q52186659;Q311755
Q20643695;Q289028
Q25936216;Q3134515
Q47160785;Q3320854
Q31525986;Q2845596
Q41486944;Q6504358
Q27638778;Q27638854
Q26156607;Q26156638
Q51070085;Q51036871
Q13422577;Q92116
Q50368817;Q965263
Q47443928;Q215868
Q27309958;Q3573565
Q7758002;Q7637
Q27918987;Q18068893
Q27918987;Q559040
Q27918987;Q27918997
Q50568777;Q3397750
Q53573801;Q711542
Q51451741;Q18643796
Q29918672;Q2959715
Q50327918;Q549841
Q36998107;Q45909
Q36998107;Q14045
Q27070303;Q27070299
Q26883530;Q219728
Q52271279;Q3170166
Q3540992;Q17714
Q3087293;Q217790
Q29613809;Q3622555
Q11520402;Q3128811
Q31213901;Q20742941
Q27210926;Q3085973
Q6041496;Q49224989
Q28322984;Q3093928
Q26237356;Q4590991
Q29068789;Q17259580
Q7997890;Q75270
Q23902594;Q23902601
Q30109682;Q690442
Q22093309;Q12320001
Q50529559;Q379988
Q27559540;Q118201
Q25991161;Q157155
Q20533970;Q3296700
Q22329368;Q18414054
Q29343719;Q201477
Q29343719;Q961753
Q2149841;Q258662
Q28604258;Q3170182
Q28534161;Q2861197
Q47160695;Q12391323
Q26926661;Q179888
Q6419691;Q4799125
Q28841901;Q2906095
Q52728456;Q2466770
Q25512999;Q3047707
Q55434785;Q96144
Q28790991;Q259121
Q25936411;Q3570666
Q50529411;Q3310967
Q54806893;Q54806903
Q50807648;Q3134543
Q51450643;Q18643796
Q29393566;Q29393777
Q28322653;Q2274693
Q55454469;Q16175648
Q28530735;Q28530731
Q28087831;Q28087840
Q50479348;Q214438
Q26251030;Q26251036
