human_id;occupation
Q311145;writer
Q726264;anthropologist
Q102513;writer
Q562163;writer
Q228624;writer
Q163118;translator
Q732338;writer
Q9711;novelist
Q9038;mathematician
Q170596;anthropologist
Q584990;physician
Q584990;writer
Q1035;naturalist
Q1357338;anthropologist
Q1043;geologist
Q311145;linguist
Q562163;science fiction writer
Q102513;novelist
Q726264;archaeologist
Q9711;literary critic
Q163118;poet
Q163118;novelist
Q9038;astronomer
Q170596;archaeologist
Q584990;Encyclopédistes
Q1035;geologist
Q228624;novelist
Q1357338;archaeologist
Q1043;professor
Q311145;poet
Q726264;pedagogue
Q102513;poet
Q562163;children's writer
Q163118;essayist
Q9038;geographer
Q170596;autobiographer
Q170596;writer
Q1035;explorer
Q228624;screenwriter
Q228624;science fiction writer
Q228624;children's writer
Q584990;philosopher
Q1357338;historian
Q1043;botanist
Q1043;physician
Q1043;autobiographer
Q1043;naturalist
Q311145;journalist
Q311145;novelist
Q311145;translator
Q235291;historian
Q235291;autobiographer
Q235291;writer
Q726264;university teacher
Q102513;children's writer
Q163118;university teacher
Q163118;writer
Q9038;philosopher
Q9038;translator
Q170596;military officer
Q170596;screenwriter
Q170596;translator
Q1035;travel writer
Q311145;playwright
Q311145;literary critic
Q1043;mycologist
Q23434;war correspondent
Q23434;screenwriter
Q23434;writer
Q23434;novelist
Q23434;journalist
Q23434;autobiographer
Q23434;playwright
Q235291;biographer
Q102513;short story writer
Q9038;astrologer
Q9038;historian
Q295431;writer
Q295431;translator
Q295431;novelist
Q295431;essayist
Q295431;literary critic
Q295431;science fiction writer
Q81685;writer
Q81685;journalist
Q81685;poet
Q81685;novelist
Q81685;playwright
Q81685;screenwriter
Q81685;literary critic
Q1035;ethologist
Q170596;castellologist
Q81731;lady-in-waiting
Q81731;novelist
Q81731;poet
Q81731;writer
Q1043;pteridologist
Q23434;artist
Q310800;journalist
Q310800;poet
Q310800;writer
Q310800;screenwriter
Q50039;journalist
Q1512;poet
Q1512;essayist
Q1512;novelist
Q1512;short story writer
Q1512;children's writer
Q1512;writer
Q46248;writer
Q46248;novelist
Q46248;journalist
Q46248;screenwriter
Q46248;science fiction writer
Q46248;children's writer
Q1043;bryologist
Q81731;diarist
Q1035;entomologist
Q310800;trade unionist
Q50039;media historian
Q46248;author
Q310379;writer
Q310379;screenwriter
Q310379;novelist
Q310379;children's writer
Q1043;zoologist
