edition_id;illustrator_id
Q29386542;Q525713
Q21175970;Q5494534
Q23689857;Q23689886
Q23689857;Q23690172
Q51439939;Q1452797
Q51885426;Q5403117
Q40580209;Q457881
Q15053155;Q15053140
Q44364785;Q27868400
Q50327547;Q6369293
Q51624759;Q1855648
Q27457165;Q1507860
Q24255018;Q24259034
Q24255018;Q24259036
Q24255018;Q1018606
Q24255018;Q24259046
Q24255018;Q24259053
Q24255018;Q24259104
Q24255018;Q23771657
Q24255018;Q24259135
Q24255018;Q24259199
Q24255018;Q211619
Q55658980;Q18508125
Q55739724;Q525713
Q24326926;Q167768
Q22261163;Q214565
Q55559548;Q5078521
Q30552268;Q1063544
Q28657313;Q315608
Q22260959;Q214565
Q15058267;Q6221056
Q15854278;Q7149500
Q54166669;Q1113333
Q52341209;Q3526691
Q21022056;Q966547
Q50621363;Q55665185
Q54087754;Q4776434
Q33080650;Q9011959
Q33080650;Q33080662
Q16686023;Q3260577
Q49611178;Q2442652
Q51886161;Q560015
Q15634564;Q772558
Q19106639;Q1866386
Q22679574;Q722999
Q21764615;Q1494309
Q21764615;Q583275
Q21522565;Q3905385
Q24089316;Q12026771
Q12057781;Q18534452
Q19078762;Q4821453
Q27624860;Q27624911
Q24038979;Q20057070
Q21280812;Q17523640
Q21280812;Q17523641
Q50317935;Q454568
Q15725990;Q15725991
Q20872993;Q1374807
Q50823460;Q4293869
Q55360295;Q959748
Q55360295;Q28053702
Q19534888;Q29042917
Q19534888;Q4260905
Q19534888;Q15407394
Q19534888;Q39446221
Q19534888;Q17348732
Q19534888;Q28966326
Q19100453;Q1591928
Q22771800;Q37693
Q22771800;Q517792
Q22771666;Q37693
Q21957418;Q5082131
Q15912314;Q15912340
Q22679442;Q722999
Q52373537;Q2223396
Q50317980;Q454568
Q20872991;Q457881
Q26334755;Q26335015
Q19100078;Q4725732
Q30474306;Q23680546
Q22087677;Q21495507
Q15634579;Q2535205
Q13768618;Q13769198
Q21281926;Q15406986
Q24089437;Q346846
Q24089437;Q3048295
Q24089437;Q26408
Q14944010;Q983349
Q26451825;Q650946
Q22829023;Q2535359
Q24295216;Q16198124
Q45817416;Q17094166
