city_id;mayor_id
Q23306;Q38931
Q162615;Q6341938
Q1085;Q17149373
Q36947;Q27306390
Q2656;Q50190176
Q656;Q2895612
Q71;Q24703283
Q30;Q11696
Q64;Q641159
Q2807;Q17078548
Q2634;Q50190063
Q1761;Q13645132
Q182591;Q54931516
Q69445;Q24701575
Q2044;Q25927210
Q1492;Q12155639
Q1492;Q8350052
Q29;Q844587
Q1218;Q2276266
Q270;Q6627774
Q5806;Q132050
Q41;Q4377230
Q917891;Q26700989
Q72;Q21510223
Q1490;Q11525354
Q956;Q17279086
Q8678;Q53926032
Q220;Q23936560
Q13855;Q26691142
Q8717;Q26274423
Q1479;Q27898073
Q490;Q3961545
Q8646;Q2741486
Q1891;Q50184139
Q60;Q785304
Q1055;Q1362118
Q5818;Q26698798
Q27;Q191827
Q365;Q52220796
Q84;Q38931
Q11959;Q26690449
Q23556;Q30185
Q46940;Q26698271
