book_id;edition_id
Q208460;Q20124587
Q137869;Q42532113
Q81413;Q43795187
Q1845;Q19525492
Q442;Q47883812
Q1845;Q3943129
Q1845;Q1626958
Q2870;Q15987824
Q40185;Q21190964
Q40185;Q21191066
Q194424;Q50943978
Q143931;Q43197056
Q83799;Q16735600
Q480;Q49612156
Q137869;Q42532129
Q81413;Q43795466
Q208460;Q24704731
Q1845;Q19523670
Q1845;Q570121
Q1845;Q7083917
Q1845;Q20203353
Q442;Q47884744
Q194424;Q50944298
Q92640;Q17617828
Q83799;Q27531714
Q144569;Q11429477
Q40185;Q21191070
Q143931;Q43197841
Q40185;Q21190966
Q44276;Q43631163
Q144132;Q19041944
Q1845;Q9170718
Q81413;Q43795825
Q92640;Q19731358
Q1845;Q19523683
Q44996;Q13735287
Q70806;Q11306262
Q40185;Q21190973
Q62879;Q20872993
Q1845;Q2462802
Q190126;Q48449177
Q144569;Q21418968
Q194424;Q50944439
Q40185;Q21191014
Q180736;Q23011963
Q6511;Q15996608
Q162478;Q22338962
Q1845;Q18918473
Q20124;Q20968204
Q180736;Q28803496
Q192258;Q50295550
Q190126;Q48450153
Q92640;Q20872991
Q81413;Q44054442
Q40185;Q21190993
Q1845;Q11687962
Q14624856;Q14624815
Q29270;Q4547210
Q1845;Q1786390
Q40185;Q47011189
Q447;Q24230258
Q6511;Q19020726
Q8265;Q18744387
Q162478;Q22338974
Q1845;Q131175
Q20124;Q21948575
Q1845;Q11145376
Q40185;Q21190996
Q123397;Q28141709
Q92640;Q21957418
Q6911;Q14624843
Q130924;Q19558387
Q143707;Q28869413
Q29270;Q9080992
Q190126;Q48450804
Q1845;Q5363012
Q428;Q7744922
Q6511;Q28599480
Q1845;Q1138103
Q40185;Q21191003
Q8265;Q18885234
Q162478;Q22340538
Q123397;Q47088678
Q20124;Q24073728
Q92640;Q40580209
Q29270;Q4548960
Q1845;Q20201728
Q6911;Q14624856
Q130924;Q30260463
Q129778;Q42535611
Q27775;Q40579550
Q428;Q1219621
Q1845;Q3492456
Q6511;Q28599496
Q40185;Q19183108
Q1845;Q1502139
Q8265;Q47452380
Q1845;Q20201776
Q165318;Q40590443
Q10202;Q23296098
Q140057;Q41697375
Q106199;Q21163096
Q130924;Q30264111
Q20124;Q40578896
Q6911;Q14624872
Q123397;Q47088679
Q191663;Q19022115
Q428;Q6455517
Q1845;Q603882
Q1845;Q20203353
Q6511;Q28599520
Q165318;Q40697569
Q10202;Q23296487
Q1845;Q866134
Q4509219;Q19178937
Q170583;Q26696290
Q199940;Q44974329
Q140057;Q42534635
Q20124;Q21161673
Q6911;Q14624877
Q106199;Q21163272
Q183565;Q15639843
Q428;Q3237327
Q28491;Q17619093
Q1845;Q170093
Q1845;Q1571095
Q6511;Q28599521
Q140057;Q41697375
Q165318;Q48418380
Q1845;Q623398
Q40185;Q19183110
Q10202;Q23296854
Q170583;Q28002560
Q6911;Q14624888
Q200306;Q19558994
Q106199;Q21163322
Q183565;Q21764615
Q20124;Q21161675
Q82464;Q48332901
Q1845;Q338373
Q83367;Q29334
Q3620673;Q29334
Q185118;Q14943998
Q131068;Q19905487
Q191288;Q15982549
Q6511;Q28599523
Q1845;Q1240869
Q11191;Q19102705
Q40185;Q21191013
Q106199;Q21163341
Q205921;Q20963630
Q1845;Q1555509
Q6911;Q14624941
Q1845;Q476495
Q428;Q7045768
Q28754;Q19022854
Q185118;Q14944007
Q1845;Q4264194
Q29334;Q20278655
Q6511;Q28599525
Q191288;Q17525620
Q11191;Q19037581
Q172891;Q19967013
Q40185;Q21191022
Q205921;Q20963633
Q1845;Q5083751
Q1845;Q1756168
Q6911;Q20901632
Q2222;Q41526857
Q428;Q6015255
Q28754;Q21957396
Q1845;Q8035681
Q185118;Q14944010
Q1845;Q9170726
Q11336;Q17645484
Q6511;Q28599531
Q27463;Q39829696
Q40185;Q19126932
Q172891;Q23575302
Q3036825;Q23575302
Q16000458;Q23575302
Q18990;Q12626119
Q1845;Q10511148
Q1845;Q6888651
Q73112;Q23012308
Q164932;Q15104588
Q185118;Q14944015
Q1845;Q20157264
Q1845;Q9170725
Q11336;Q17681239
Q44701;Q19100689
Q48244;Q14703963
Q172891;Q23304764
Q40185;Q19128930
Q18990;Q5943662
Q40591;Q19759114
Q24323;Q16029876
Q1845;Q10602364
Q181488;Q42573588
Q29571913;Q29562896
Q1845;Q15892006
Q1845;Q20160290
Q44701;Q19100684
Q1845;Q9170712
Q29399;Q15735119
Q48244;Q43102899
Q40185;Q21191058
Q18990;Q16184679
Q172891;Q32631704
Q127149;Q46710463
Q40591;Q19218874
Q1845;Q6457532
Q509253;Q6457532
Q442;Q47882807
Q1845;Q10519521
Q208622;Q50327703
Q1845;Q20165852
Q25555;Q15151346
Q1845;Q9170728
Q480;Q49611178
Q30925;Q19075587
Q40185;Q21191064
Q49060;Q16104374
Q82438;Q47754232
Q127149;Q47007804
Q442;Q47883393
Q40591;Q51886025
Q1845;Q10397145
Q8251;Q43796635
