human_id;mayor_id
Q50365049;Q1788970
Q5300817;Q824910
Q15976266;Q25927210
Q467464;Q19190022
Q2885098;Q26698271
Q18111;Q4122271
Q18104657;Q17149373
Q4014539;Q50184139
Q313252;Q2347975
Q927550;Q319145
Q17146774;Q3961545
Q291644;Q2334076
Q23766020;Q23936560
Q2641759;Q52220796
Q6756538;Q53926032
Q19592761;Q17078548
Q30745227;Q50189121
Q7035479;Q1123764
Q7176020;Q15921529
Q311197;Q887010
Q334155;Q38931
Q1841565;Q12270260
Q4911497;Q785304
Q17320405;Q39582061
Q983514;Q2895612
Q703503;Q50190176
Q264766;Q14211
Q241750;Q795295
Q468394;Q2276266
Q312015;Q4377230
Q6070218;Q844587
Q59155;Q1790154
Q1058;Q192711
Q317556;Q20204943
Q1728820;Q191827
Q43723;Q208487
