country_id;language_id
Q874;Q9267
Q27;Q9142
Q27;Q1860
Q27;Q665624
Q1025;Q13955
Q1025;Q150
Q1005;Q1860
Q230;Q8108
Q230;Q5111
Q836;Q9228
Q1016;Q13955
Q26988;Q1860
Q26988;Q36745
Q739;Q1321
Q262;Q13955
Q262;Q25448
Q114;Q7838
Q114;Q1860
Q712;Q1860
Q712;Q33295
Q712;Q46728
Q399;Q8785
Q691;Q1860
Q691;Q34159
Q691;Q33617
Q691;Q25044405
Q967;Q33583
Q967;Q150
Q967;Q1860
Q678;Q34094
Q678;Q1860
Q419;Q1321
Q419;Q4627
Q419;Q5218
Q241;Q1321
Q265;Q9264
Q252;Q9240
Q29;Q1321
Q29;Q9307
Q29;Q8752
Q29;Q7026
Q29;Q14185
Q45;Q5146
Q45;Q13330
Q668;Q1568
Q668;Q1860
Q36;Q809
Q159;Q7737
Q159;Q27567
Q159;Q27776
Q159;Q1991779
Q159;Q13389
Q159;Q33120
Q159;Q33509
Q159;Q33522
Q159;Q33634
Q159;Q33714
Q159;Q36126
Q159;Q33357
Q159;Q973685
Q159;Q13343
Q159;Q33871
Q159;Q33968
Q159;Q25285
Q159;Q34119
Q159;Q13238
Q159;Q8798
Q159;Q33575
Q159;Q33350
Q159;Q33348
Q159;Q29952
Q159;Q34299
Q159;Q29561
Q159;Q36498
Q159;Q9292
Q159;Q4155031
Q159;Q36209
Q159;Q36206
Q159;Q31746
Q159;Q33871
Q159;Q36757
Q159;Q34079
Q159;Q56489
Q159;Q36853
Q424;Q9205
Q854;Q13267
Q854;Q5885
Q869;Q9217
Q155;Q750553
Q155;Q3436689
Q30;Q1860
Q30;Q7976
Q1019;Q7930
Q1019;Q150
Q766;Q1860
Q1028;Q13955
Q1028;Q7598268
Q1028;Q28071661
Q39;Q188
Q39;Q652
Q39;Q150
Q39;Q13199
Q38;Q652
Q40;Q188
Q40;Q36668
Q20;Q25167
Q20;Q56463
Q20;Q25164
Q20;Q9043
Q889;Q58680
Q889;Q178440
Q664;Q1860
Q664;Q36451
Q664;Q36239
Q1029;Q5146
Q55;Q7411
Q55;Q27175
Q55;Q33856
Q55;Q1860
Q819;Q9211
Q227;Q9292
Q414;Q1321
Q1049;Q13955
Q1049;Q1860
Q833;Q15065
Q833;Q1860
Q833;Q9237
Q17;Q5287
Q219;Q7918
Q79;Q13955
Q843;Q1860
Q843;Q1617
Q794;Q9168
Q43;Q256
Q16;Q1860
Q16;Q150
Q35;Q9035
Q1044;Q1860
Q33;Q1412
Q33;Q9027
Q148;Q727694
Q711;Q9246
Q1011;Q5146
Q1011;Q35963
Q948;Q13955
Q822;Q13955
Q408;Q1860
Q683;Q1860
Q683;Q34011
Q977;Q150
Q977;Q13955
Q189;Q294
Q142;Q150
Q298;Q1321
Q736;Q1321
Q736;Q1740805
Q736;Q617291
Q218;Q7913
Q41;Q9129
Q41;Q35392
Q858;Q13955
Q183;Q188
Q796;Q13955
Q796;Q36368
Q1041;Q150
Q219060;Q13955
Q258;Q1860
Q258;Q14196
Q258;Q36785
Q258;Q33890
Q258;Q34340
Q258;Q34014
Q258;Q34327
Q258;Q34137
Q258;Q32704
Q258;Q13218
Q258;Q10179
Q1037;Q33573
Q1037;Q1860
Q1037;Q150
Q34;Q9027
Q34;Q56463
Q34;Q1412
Q34;Q13357
Q34;Q13201
Q34;Q8641
Q1045;Q13275
Q1045;Q13955
Q96;Q1321
Q912;Q150
Q805;Q13955
Q881;Q9199
Q28513;Q188
Q28513;Q9067
Q33946;Q9056
Q33946;Q9058
Q31;Q7411
Q31;Q150
Q31;Q188
Q15180;Q7737
Q16957;Q188
Q16957;Q25442
Q129286;Q1860
Q29999;Q7411
Q238;Q652
Q970;Q33077
Q970;Q13955
Q970;Q150
Q37;Q9083
Q212;Q8798
Q145;Q1860
Q145;Q9309
Q801;Q9288
Q801;Q13955
Q213;Q9056
