author_id;influencing_author_id
Q181659;Q42511
Q181659;Q7243
Q181659;Q892
Q181659;Q909
Q1512;Q5686
Q17714;Q33760
Q215263;Q33760
Q295431;Q105756
Q295431;Q314987
Q12807;Q6882
Q12807;Q909
Q12807;Q9438
Q448;Q868
Q448;Q9068
Q241248;Q36591
Q23434;Q1512
Q82032;Q892
Q311145;Q1067
Q311145;Q41166
Q311145;Q535
Q311145;Q5682
Q311145;Q9068
Q9068;Q5682
Q9068;Q859
Q9068;Q935
Q36591;Q1512
Q7197;Q9364
Q991;Q7200
Q991;Q9711
Q991;Q5682
Q991;Q5686
Q991;Q535
Q504;Q9711
Q868;Q859
Q12881;Q184440
Q12881;Q909
Q38392;Q9711
Q298761;Q39829
Q134798;Q9711
Q134798;Q5878
Q40479;Q134798
Q40479;Q36591
Q40479;Q210059
Q170509;Q9711
Q190220;Q79759
Q190220;Q9204
Q33760;Q8747
Q33760;Q183372
Q1064;Q9068
Q9364;Q7197
Q9364;Q9061
Q7243;Q7200
Q7243;Q991
Q7243;Q859
Q7243;Q868
Q7243;Q6527
Q7243;Q5686
Q7243;Q535
Q7243;Q102513
Q33977;Q535
Q1067;Q868
Q1067;Q9438
Q34670;Q9364
Q7200;Q9068
Q7200;Q1067
Q892;Q33977
Q892;Q183167
Q39829;Q36184
Q9438;Q859
Q9438;Q868
Q49081;Q36591
Q49081;Q34670
Q46248;Q183167
Q34660;Q183167
Q34660;Q39829
Q34660;Q79904
Q34660;Q9204
Q9204;Q1067
Q9204;Q183167
Q9204;Q42511
Q9204;Q79759
Q9204;Q868
Q9204;Q859
Q9204;Q892
Q184440;Q311145
Q181677;Q38392
Q5878;Q38392
Q909;Q82925
Q909;Q30875
Q909;Q859
Q909;Q42511
Q909;Q38082
Q909;Q6882
Q909;Q1512
Q105756;Q991
Q105756;Q905
Q105756;Q6882
Q105756;Q79904
Q105756;Q170509
Q105756;Q36591
Q105756;Q336151
Q105756;Q23434
