country_id;publisher_id
Q142;Q273819
Q30;Q1431868
Q30;Q95149
Q17;Q726081
Q30;Q2881141
Q145;Q1336200
Q30;Q2609948
Q30;Q552959
Q30;Q4669411
Q30;Q536795
Q30;Q3093062
Q145;Q2108217
Q30;Q1431868
Q30;Q8015856
Q38;Q3579256
Q30;Q520387
Q145;Q2108217
Q145;Q378809
Q145;Q2108217
Q30;Q3093062
Q408;Q95145
Q30;Q3560313
Q30;Q3243165
Q145;Q3277534
Q17;Q844822
Q30;Q5287721
Q30;Q2609948
Q30;Q2647037
Q159;Q4483635
Q30;Q2753848
Q30;Q1506059
Q30;Q1756332
Q30;Q799732
Q30;Q390074
Q30;Q390074
Q30;Q1282208
Q30;Q390074
Q145;Q2263748
Q183;Q997885
Q30;Q1431868
Q183;Q353060
Q30;Q2881141
Q16;Q6800322
Q668;Q7380179
Q30;Q3127696
Q145;Q2108217
Q142;Q273819
Q30;Q2647037
Q30;Q1431868
Q142;Q273819
Q30;Q7005314
Q145;Q568642
Q408;Q95145
Q183;Q878427
Q142;Q532567
Q183;Q532567
Q30;Q3067003
Q30;Q552959
Q30;Q95149
Q30;Q1756332
Q30;Q390074
Q30;Q1431868
Q30;Q73820
Q145;Q568642
Q30;Q3093062
Q145;Q568642
Q145;Q568642
Q30;Q3127696
Q30;Q3093062
Q145;Q861799
Q145;Q3277534
Q30;Q3127696
Q30;Q15077094
Q145;Q2108217
Q145;Q3277534
Q142;Q3026786
Q142;Q3402586
Q145;Q898097
Q145;Q3277534
Q30;Q552959
Q155;Q2339634
Q29;Q2339634
Q30;Q921536
Q183;Q634246
Q145;Q1529971
Q30;Q868587
Q34;Q2062729
Q408;Q95145
Q145;Q568642
Q142;Q273819
Q30;Q466587
Q30;Q8015856
Q30;Q1431868
Q30;Q5540027
Q145;Q378809
Q30;Q2648991
Q34;Q2830980
Q145;Q2108217
Q145;Q3277534
Q148;Q936190
Q145;Q8007001
Q145;Q568642
Q145;Q4834796
Q30;Q3132837
Q142;Q273819
Q145;Q912887
Q30;Q5099225
Q30;Q7206385
Q30;Q921536
Q30;Q552959
Q30;Q8015856
Q145;Q1508259
Q145;Q568642
Q30;Q520387
Q30;Q552959
Q30;Q3445044
Q30;Q2137023
Q145;Q861799
Q16;Q6800322
Q145;Q861799
Q183;Q316578
Q30;Q3093062
Q30;Q2924461
Q30;Q536795
Q30;Q30873
Q30;Q3067003
Q30;Q845617
Q30;Q7797764
Q145;Q2108217
Q183;Q7320
Q408;Q95145
Q30;Q5541948
Q145;Q2108217
Q30;Q552959
Q30;Q1756332
Q30;Q921536
Q30;Q7922795
Q29;Q8252460
Q145;Q1336200
Q408;Q95145
Q30;Q921536
Q30;Q8015856
Q30;Q7005314
Q30;Q4034881
Q34;Q2830980
Q183;Q646071
Q30;Q845617
Q30;Q95149
Q142;Q532567
Q183;Q532567
Q30;Q7206385
Q30;Q552959
Q30;Q95149
Q142;Q186225
Q148;Q5375692
Q30;Q3093062
Q17;Q1357695
Q183;Q451462
Q30;Q3093062
Q145;Q2108217
Q145;Q217595
Q30;Q217595
Q30;Q5499961
Q30;Q1431868
Q30;Q3093062
Q145;Q2108217
Q155;Q2339634
Q29;Q2339634
Q30;Q845617
Q30;Q1431868
Q30;Q95149
Q145;Q3277534
Q145;Q568642
Q30;Q845617
Q142;Q1503157
Q183;Q1385440
Q30;Q1282208
Q30;Q95149
Q30;Q55233
Q30;Q3127696
Q30;Q3093062
Q145;Q568642
Q145;Q568642
Q145;Q2108217
Q145;Q378809
Q145;Q1336200
Q30;Q3093062
Q183;Q646071
