human_id;realCity_id
Q373251;Q647
Q312405;Q94919
Q583065;Q23482
Q76576;Q1799
Q1160619;Q34404
Q348916;Q42448
Q706794;Q84
Q4390323;Q132751
Q26993;Q21159
Q160263;Q1218
Q562163;Q1761
Q272;Q270230
Q134942;Q90
Q78491;Q1741
Q47293;Q2916
Q8018;Q1324444
Q124589;Q268485
Q66820;Q1055
Q1971168;Q84
Q62742;Q406
Q182874;Q16666
Q472568;Q3145754
Q185223;Q739037
Q279305;Q2279685
Q279305;Q84
Q179284;Q16869
Q22714;Q20073
Q9391;Q1741
Q55072099;Q387463
Q42;Q350
Q35064;Q209055
Q4583;Q1794
Q332689;Q7903
Q4671;Q84
Q18143;Q363166
Q140412;Q84
Q276607;Q826561
Q9353;Q1825419
Q9038;Q486195
Q5682;Q46940
Q5180994;Q123709
Q36322;Q1231836
Q44647;Q146351
Q470758;Q987759
Q314416;Q145
Q1583025;Q38981
Q3335;Q1774606
Q151523;Q1781
Q192214;Q238723
Q192214;Q90
Q339577;Q40340
Q44646;Q1297
Q3524867;Q3350794
Q318099;Q25395
Q9322562;Q11751
Q1348678;Q1799
Q34253;Q1757
Q470302;Q100
Q61627;Q161887
Q203906;Q279890
Q216195;Q43421
Q2754;Q1085
Q1362988;Q2973
Q3116258;Q761408
Q553137;Q60
Q44336;Q9799
Q1314332;Q100
Q37151;Q43407
Q186042;Q6063529
Q183372;Q736439
Q118058;Q65026
Q93343;Q177544
Q722103;Q3761
Q6538;Q216173
Q314993;Q30974
Q560015;Q238803
Q271853;Q3558423
Q237555;Q1939963
Q249197;Q725261
Q371957;Q648
Q34970;Q41262
Q275392;Q84
Q109540;Q546339
Q9381;Q691685
Q171091;Q1297
Q105756;Q237896
Q181677;Q812589
Q76;Q6366688
Q23441;Q844701
Q355194;Q189
Q859;Q844930
Q112929;Q684847
Q835;Q1899
Q356428;Q84
Q356428;Q133315
Q78529;Q131266
Q861482;Q49239
Q189119;Q84
Q979098;Q10690
Q276028;Q18125
Q4235;Q984264
Q318026;Q476584
Q548162;Q17
Q172544;Q5092
Q160534;Q49162
Q707945;Q83065
Q17457;Q37836
Q165110;Q64
Q661076;Q84
Q1035;Q2412935
Q1518051;Q1115796
Q1148678;Q2090
Q195154;Q42735
Q287828;Q387460
Q208582;Q11751
Q645074;Q1761
Q75812;Q1799
Q25550430;Q1297
Q3604909;Q220
Q1301663;Q1022127
Q9696;Q49142
Q44183;Q3997404
Q379520;Q4970
Q2367724;Q49202
Q621458;Q84
Q185548;Q585
Q87015;Q3426
Q122458;Q72
Q218679;Q1141101
Q9387;Q1729
Q513285;Q23306
Q5894750;Q18419
Q43459;Q681427
Q34787;Q153974
Q354371;Q1479
Q354371;Q207156
Q359548;Q61
Q7200;Q649
Q311132;Q200942
Q372533;Q1761
Q705464;Q617375
Q219829;Q260619
Q78509;Q465104
Q1394609;Q537877
Q6076742;Q5083
Q57393;Q1720
Q35610;Q23436
Q179126;Q84
Q217790;Q213325
Q41223;Q649
Q4582169;Q2044
Q1385325;Q43631
Q309716;Q841686
Q55767;Q634231
Q1585875;Q1342
Q1043;Q927776
Q11518883;Q34600
Q90057;Q64
Q18430;Q184116
Q1356272;Q1016159
Q154691;Q3306
Q272610;Q18383
Q23559;Q99950
Q183397;Q863832
Q44519;Q10728500
