human_id;realCity_id
Q311145;Q8678
Q81685;Q90
Q102513;Q33486
Q182874;Q956
Q924927;Q90
Q274848;Q49198
Q1067;Q13364
Q173540;Q23556
Q991;Q656
Q79759;Q84
Q310800;Q649
Q1064;Q490
Q240576;Q268214
Q5816;Q197889
Q1043;Q1669062
Q5682;Q2807
Q233956;Q2044
Q4583;Q7332
Q105118;Q506446
Q82104;Q29303
Q905;Q875133
Q42511;Q84
Q1035;Q3038318
Q163118;Q1672375
Q47484;Q90
Q43459;Q681427
Q37151;Q912068
Q23434;Q1519069
Q46248;Q2554678
Q49081;Q16555
Q170596;Q4252369
Q42;Q159288
Q193111;Q1757
Q9711;Q90
Q180903;Q1490
Q71501;Q162049
Q170509;Q743535
Q909;Q71
Q9038;Q1530
Q35064;Q988100
Q6882;Q72
Q9458;Q35484
Q314771;Q5214961
Q528826;Q23157
Q1512;Q548806
Q153232;Q90
Q448;Q90
Q82778;Q547910
Q13230;Q69445
Q42831;Q399342
Q584990;Q180871
Q9215;Q84
Q449085;Q1496198
Q34474;Q649
Q37731;Q35484
Q621458;Q34217
Q28147;Q178925
Q449085;Q1496198
Q184440;Q36947
Q81438;Q138367
Q352;Q153491
Q706003;Q13375
Q83041;Q1229422
Q111559;Q49127307
Q39837;Q101625
Q1707785;Q84
Q102851;Q6259
Q6691;Q216993
Q859;Q844930
Q2521377;Q220
Q1067;Q13364
Q302;Q170516
Q1048;Q220
Q1048;Q944814
Q258369;Q52981
Q1093574;Q13395
Q316876;Q2044
Q131691;Q2543161
Q132786;Q220
Q43706;Q2140586
Q48305;Q213679
Q172248;Q379652
Q160441;Q1720
Q366070;Q170478
Q2721219;Q2044
Q2442652;Q90
Q43939;Q29303
Q41980;Q41
Q635;Q87
Q83375;Q16990
Q466048;Q206990
Q154938;Q782155
Q172353;Q189901
Q913;Q844930
Q41866;Q16869
Q43746;Q456
Q41166;Q1761
Q8778;Q220
Q359237;Q2634
Q676555;Q510041
Q188411;Q647070
Q81018;Q1218
Q366270;Q34602
Q223440;Q128246
Q165479;Q190684
Q1398;Q13496
Q9458;Q35484
Q41370;Q1218
Q232913;Q2044
Q203792;Q178488
Q207535;Q917891
Q8018;Q858024
Q118081;Q116884
Q207370;Q379652
Q41155;Q47611
Q3860377;Q490
Q315347;Q90
Q244912;Q1218
Q243203;Q2634
Q152717;Q91119
Q9438;Q1775258
Q2755054;Q20103
Q34943;Q87
Q172916;Q13395
Q317436;Q131491
Q355903;Q541
Q549041;Q1891
Q8409;Q5684
Q868;Q200133
Q1927217;Q1761
Q36303;Q169460
Q134646;Q220
Q2054;Q220
Q60059;Q365
Q7198;Q79808
Q59180;Q1363688
Q170859;Q13395
Q8011;Q28587
Q166876;Q8717
Q6197;Q220
Q40662;Q1549278
Q1541;Q128086
Q448586;Q5990
Q36724;Q170062
Q170335;Q2656
Q785250;Q90
Q317554;Q90
Q665165;Q2634
Q33923;Q220
Q1425;Q844779
Q199991;Q53935
Q5264;Q178405
Q8581;Q3766
Q130221;Q1048600
Q188646;Q220
Q367387;Q2656
Q131463;Q322376
Q44265;Q334051
Q76721;Q1218
Q2641759;Q365
