book_id;language_id
Q5825;Q1860
Q31285;Q150
Q38564;Q1860
Q29132;Q1860
Q8563;Q1860
Q8269;Q182695
Q35690;Q5287
Q24555;Q1860
Q25555;Q188
Q39961;Q1321
Q18725;Q1860
Q25551;Q1860
Q27321;Q7737
Q442;Q397
Q31692;Q256
Q11678;Q1860
Q26505;Q1860
Q40354;Q1860
Q13231;Q150
Q38213;Q1860
Q40205;Q1860
Q4795;Q1860
Q4672;Q1860
Q22765;Q397
Q8251;Q37041
Q27592;Q188
Q6911;Q7411
Q13912;Q1860
Q25750;Q1860
Q27544;Q1860
Q31720;Q256
Q28306;Q1860
Q40185;Q652
Q27451;Q5287
Q27462;Q150
Q27463;Q150
Q480;Q5364419
Q36097;Q188
Q23163;Q1860
Q31385;Q1860
Q2222;Q7976
Q27466;Q1860
Q27453;Q1860
Q38190;Q1860
Q38793;Q150
Q20124;Q1860
Q24402;Q150
Q10202;Q1860
Q18990;Q37041
Q6507;Q1860
Q11191;Q1860
Q29424;Q7737
Q26193;Q7737
Q8014;Q1860
Q31179;Q1860
Q26541;Q1860
Q2870;Q1860
Q1845;Q1982248
Q1845;Q28602
Q1845;Q107358
Q30925;Q1860
Q31137;Q5146
Q36393;Q7850
Q29270;Q397
Q11336;Q652
Q28491;Q652
Q8369;Q13955
Q28172;Q1860
Q33787;Q1412
Q8279;Q9168
Q721;Q1860
Q428;Q1654327
Q38187;Q1860
Q24596;Q1860
Q13911;Q1860
Q24323;Q1860
Q4804;Q1860
Q28754;Q1472196
Q4791;Q1860
Q447;Q150
Q26085;Q1860
Q27331;Q1860
Q32136;Q1860
Q27775;Q7737
Q6511;Q1860
Q8265;Q7850
